fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2017-07-28,First Division A,2017-18,Antwerp,Anderlecht,0,0,5,5,3,0,0,0,0,10,3,0,0,0
2017-07-29,First Division A,2017-18,Charleroi,Kortrijk,1,0,5,6,2,1,0,0,1,11,3,0,0,0
2017-07-29,First Division A,2017-18,Eupen,Waregem,0,5,2,7,2,2,0,0,5,9,4,0,0,1
2017-07-29,First Division A,2017-18,Genk,Waasland-Beveren,3,3,5,2,1,2,0,0,6,7,3,0,1,1
2017-07-29,First Division A,2017-18,Lokeren,Club Brugge,0,4,5,6,3,1,0,1,4,11,4,1,0,1
2017-07-30,First Division A,2017-18,Mechelen,Standard,1,1,2,3,3,3,0,0,2,5,6,0,1,0
2017-07-30,First Division A,2017-18,Oostende,Mouscron,0,1,5,1,3,3,1,0,1,6,6,1,0,0
2017-07-30,First Division A,2017-18,St Truiden,Gent,3,2,1,9,2,4,0,0,5,10,6,0,1,1
2017-08-04,First Division A,2017-18,Standard,Genk,2,1,5,6,3,4,0,0,3,11,7,0,1,1
2017-08-05,First Division A,2017-18,Kortrijk,Lokeren,1,0,14,4,1,4,0,0,1,18,5,0,0,0
2017-08-05,First Division A,2017-18,Mouscron,Charleroi,2,5,4,3,3,1,1,0,7,7,4,1,1,1
2017-08-05,First Division A,2017-18,Waasland-Beveren,Mechelen,2,2,4,4,3,4,0,0,4,8,7,0,1,1
2017-08-05,First Division A,2017-18,Waregem,St Truiden,2,0,11,1,2,3,0,1,2,12,5,1,0,0
2017-08-06,First Division A,2017-18,Gent,Antwerp,0,1,6,3,2,5,0,0,1,9,7,0,0,0
2017-08-06,First Division A,2017-18,Club Brugge,Eupen,3,1,5,2,1,3,0,1,4,7,4,1,1,1
2017-08-06,First Division A,2017-18,Anderlecht,Oostende,1,0,9,9,1,3,0,0,1,18,4,0,0,0
2017-08-11,First Division A,2017-18,Waregem,Club Brugge,1,2,4,4,1,3,0,0,3,8,4,0,1,1
2017-08-12,First Division A,2017-18,Eupen,Kortrijk,1,2,10,1,3,4,0,0,3,11,7,0,1,1
2017-08-12,First Division A,2017-18,Lokeren,Mouscron,0,2,2,3,4,1,1,0,2,5,5,1,0,0
2017-08-12,First Division A,2017-18,Mechelen,Gent,1,1,7,7,2,1,0,0,2,14,3,0,1,0
2017-08-12,First Division A,2017-18,Oostende,Waasland-Beveren,0,3,10,6,1,0,0,0,3,16,1,0,0,1
2017-08-13,First Division A,2017-18,Antwerp,Genk,3,5,5,3,1,1,0,0,8,8,2,0,1,1
2017-08-13,First Division A,2017-18,Charleroi,Anderlecht,2,0,7,5,2,3,0,0,2,12,5,0,0,0
2017-08-13,First Division A,2017-18,St Truiden,Standard,1,0,2,3,3,4,0,2,1,5,7,2,0,0
2017-08-18,First Division A,2017-18,Standard,Waregem,0,4,3,5,0,2,0,0,4,8,2,0,0,1
2017-08-19,First Division A,2017-18,Eupen,Oostende,2,1,5,8,2,2,0,0,3,13,4,0,1,1
2017-08-19,First Division A,2017-18,Genk,Charleroi,0,1,4,7,0,1,0,0,1,11,1,0,0,0
2017-08-19,First Division A,2017-18,Mechelen,Antwerp,1,2,9,2,2,4,0,0,3,11,6,0,1,1
2017-08-19,First Division A,2017-18,Waasland-Beveren,Lokeren,2,3,8,6,3,5,0,0,5,14,8,0,1,1
2017-08-20,First Division A,2017-18,Mouscron,Gent,3,2,7,1,3,3,0,1,5,8,6,1,1,1
2017-08-20,First Division A,2017-18,Anderlecht,St Truiden,2,3,9,2,0,2,0,0,5,11,2,0,1,1
2017-08-20,First Division A,2017-18,Kortrijk,Club Brugge,1,2,11,4,3,1,0,0,3,15,4,0,1,1
2017-08-25,First Division A,2017-18,Kortrijk,Mouscron,1,1,2,3,2,0,0,0,2,5,2,0,1,0
2017-08-26,First Division A,2017-18,Charleroi,Waregem,3,2,3,3,2,2,0,1,5,6,4,1,1,1
2017-08-26,First Division A,2017-18,Genk,Mechelen,1,0,5,3,4,2,1,0,1,8,6,1,0,0
2017-08-26,First Division A,2017-18,Lokeren,Eupen,3,0,7,2,3,1,0,0,3,9,4,0,0,1
2017-08-26,First Division A,2017-18,St Truiden,Waasland-Beveren,1,0,5,4,2,3,0,0,1,9,5,0,0,0
2017-08-27,First Division A,2017-18,Club Brugge,Standard,4,0,1,12,2,3,0,0,4,13,5,0,0,1
2017-08-27,First Division A,2017-18,Gent,Anderlecht,0,0,10,3,3,3,0,0,0,13,6,0,0,0
2017-08-27,First Division A,2017-18,Oostende,Antwerp,3,4,8,3,0,3,0,0,7,11,3,0,1,1
2017-09-08,First Division A,2017-18,Anderlecht,Lokeren,3,2,15,2,2,3,0,0,5,17,5,0,1,1
2017-09-09,First Division A,2017-18,Waregem,Kortrijk,2,2,5,7,2,3,0,0,4,12,5,0,1,1
2017-09-09,First Division A,2017-18,Waasland-Beveren,Eupen,5,1,4,4,0,1,0,0,6,8,1,0,1,1
2017-09-09,First Division A,2017-18,Antwerp,St Truiden,1,1,11,2,3,4,0,0,2,13,7,0,1,0
2017-09-09,First Division A,2017-18,Mouscron,Club Brugge,2,1,2,10,2,2,0,0,3,12,4,0,1,1
