fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2018-07-27,First Division A,2018-19,Standard,Gent,3,2,2,5,2,3,0,0,5,7,5,0,1,1,2.14,3.4,3.25,2.26,3.34,3.44
2018-07-28,First Division A,2018-19,Kortrijk,Anderlecht,1,4,6,2,2,1,0,0,5,8,3,0,1,1,4.5,3.8,1.72,4.29,4.18,1.76
2018-07-28,First Division A,2018-19,Oostende,Mouscron,2,1,4,0,4,5,0,2,3,4,9,2,1,1,1.53,3.75,7.0,1.53,4.35,6.47
2018-07-28,First Division A,2018-19,St Truiden,Cercle Brugge,0,0,2,5,2,3,0,0,0,7,5,0,0,0,1.9,3.6,3.8,1.91,3.68,4.1
2018-07-28,First Division A,2018-19,Waregem,Waasland-Beveren,2,2,5,4,3,2,0,0,4,9,5,0,1,1,1.44,4.5,6.5,1.47,4.74,6.68
2018-07-29,First Division A,2018-19,Charleroi,Antwerp,0,1,7,3,1,2,0,0,1,10,3,0,0,0,2.0,3.3,3.75,2.05,3.38,3.89
2018-07-29,First Division A,2018-19,Club Brugge,Eupen,5,2,4,4,0,4,0,1,7,8,4,1,1,1,1.22,6.5,11.0,1.24,6.51,12.63
2018-07-29,First Division A,2018-19,Lokeren,Genk,0,4,2,9,1,0,1,0,4,11,1,1,0,1,3.75,3.4,2.0,3.69,3.65,2.02
2018-08-03,First Division A,2018-19,Waasland-Beveren,Standard,0,0,3,10,3,1,0,1,0,13,4,1,0,0,3.8,3.8,1.85,4.4,3.74,1.85
2018-08-04,First Division A,2018-19,Antwerp,Kortrijk,0,0,9,1,1,2,0,0,0,10,3,0,0,0,1.83,3.4,4.5,1.85,3.68,4.39
2018-08-04,First Division A,2018-19,Cercle Brugge,Lokeren,3,2,5,0,2,4,0,0,5,5,6,0,1,1,2.0,3.6,3.5,2.0,3.87,3.55
2018-08-04,First Division A,2018-19,Eupen,Charleroi,1,4,3,3,1,0,1,0,5,6,1,1,1,1,2.7,3.2,2.62,2.7,3.46,2.63
2018-08-04,First Division A,2018-19,Gent,Waregem,1,1,9,4,3,3,0,0,2,13,6,0,1,0,1.8,3.8,4.0,1.78,3.82,4.65
2018-08-05,First Division A,2018-19,Mouscron,Club Brugge,0,1,6,5,1,1,0,1,1,11,2,1,0,0,7.0,4.33,1.44,6.56,4.9,1.46
2018-08-05,First Division A,2018-19,Genk,St Truiden,1,1,9,2,0,5,0,0,2,11,5,0,1,0,1.53,4.2,5.75,1.52,4.31,6.64
2018-08-05,First Division A,2018-19,Anderlecht,Oostende,5,2,6,1,2,2,0,0,7,7,4,0,1,1,1.44,4.33,7.0,1.47,4.56,7.24
2018-08-10,First Division A,2018-19,Club Brugge,Kortrijk,3,0,8,5,1,1,0,0,3,13,2,0,0,1,1.25,6.5,9.0,1.26,6.46,11.58
2018-08-11,First Division A,2018-19,Mouscron,Antwerp,0,1,1,5,1,2,0,0,1,6,3,0,0,0,3.25,3.6,2.1,3.4,3.5,2.17
2018-08-11,First Division A,2018-19,St Truiden,Lokeren,1,1,7,2,0,6,0,0,2,9,6,0,1,0,1.66,3.8,5.0,1.73,4.03,4.68
2018-08-11,First Division A,2018-19,Standard,Cercle Brugge,0,0,7,0,2,3,0,0,0,7,5,0,0,0,1.44,4.33,7.0,1.46,4.4,7.73
2018-08-11,First Division A,2018-19,Waregem,Eupen,4,0,5,3,0,3,0,0,4,8,3,0,0,1,1.4,5.0,6.5,1.44,4.98,6.88
2018-08-12,First Division A,2018-19,Charleroi,Anderlecht,1,2,3,3,2,5,0,0,3,6,7,0,1,1,3.5,3.6,2.0,3.71,3.59,2.03
2018-08-12,First Division A,2018-19,Gent,Waasland-Beveren,4,1,11,3,1,2,0,0,5,14,3,0,1,1,1.36,4.75,8.5,1.34,5.23,9.7
2018-08-12,First Division A,2018-19,Oostende,Genk,0,2,4,7,3,3,0,0,2,11,6,0,0,0,4.0,3.75,1.83,3.89,4.02,1.87
2018-08-17,First Division A,2018-19,Anderlecht,Mouscron,2,0,11,5,1,4,1,0,2,16,5,1,0,0,1.22,6.5,11.0,1.21,7.09,15.4
