fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2025-07-25,First Division A,2025-26,Antwerp,St. Gilloise,1,1,2,5,2,7,1,0
2025-07-26,First Division A,2025-26,Dender,Cercle Brugge,0,0,3,3,0,6,0,0
2025-07-26,First Division A,2025-26,Waregem,Mechelen,1,1,9,6,2,15,1,0
2025-07-26,First Division A,2025-26,RAAL La Louviere,Standard,0,2,5,1,2,6,0,0
2025-07-27,First Division A,2025-26,Anderlecht,Westerlo,5,2,8,3,7,11,1,1
2025-07-27,First Division A,2025-26,Oud-Heverlee Leuven,Charleroi,2,2,4,8,4,12,1,1
2025-07-27,First Division A,2025-26,Club Brugge,Genk,2,1,8,6,3,14,1,1
2025-07-27,First Division A,2025-26,St Truiden,Gent,3,1,4,6,4,10,1,1
2025-08-01,First Division A,2025-26,Mechelen,Club Brugge,2,1,2,3,3,5,1,1
2025-08-02,First Division A,2025-26,Westerlo,Waregem,3,1,3,5,4,8,1,1
2025-08-02,First Division A,2025-26,Standard,Dender,1,1,5,1,2,6,1,0
2025-08-02,First Division A,2025-26,Gent,RAAL La Louviere,1,0,5,2,1,7,0,0
2025-08-03,First Division A,2025-26,Charleroi,St Truiden,1,1,1,7,2,8,1,0
2025-08-03,First Division A,2025-26,St. Gilloise,Oud-Heverlee Leuven,5,0,4,7,5,11,0,1
2025-08-03,First Division A,2025-26,Genk,Antwerp,1,1,4,2,2,6,1,0
2025-08-03,First Division A,2025-26,Cercle Brugge,Anderlecht,0,2,5,3,2,8,0,0
2025-08-08,First Division A,2025-26,St Truiden,Dender,2,0,4,2,2,6,0,0
2025-08-09,First Division A,2025-26,Club Brugge,Cercle Brugge,2,0,9,5,2,14,0,0
2025-08-09,First Division A,2025-26,Westerlo,Mechelen,0,1,8,5,1,13,0,0
2025-08-09,First Division A,2025-26,Gent,St. Gilloise,2,3,5,10,5,15,1,1
2025-08-10,First Division A,2025-26,RAAL La Louviere,Charleroi,1,0,4,3,1,7,0,0
2025-08-10,First Division A,2025-26,Anderlecht,Waregem,2,3,6,5,5,11,1,1
2025-08-10,First Division A,2025-26,Standard,Genk,2,1,2,6,3,8,1,1
2025-08-10,First Division A,2025-26,Antwerp,Oud-Heverlee Leuven,3,1,5,3,4,8,1,1
2025-08-15,First Division A,2025-26,Oud-Heverlee Leuven,Genk,1,2,6,6,3,12,1,1
2025-08-16,First Division A,2025-26,Waregem,Club Brugge,0,1,3,9,1,12,0,0
2025-08-16,First Division A,2025-26,Mechelen,Gent,1,1,2,11,2,13,1,0
2025-08-16,First Division A,2025-26,St. Gilloise,Standard,3,0,12,1,3,13,0,1
2025-08-17,First Division A,2025-26,Cercle Brugge,Westerlo,4,1,1,11,5,12,1,1
2025-08-17,First Division A,2025-26,Charleroi,Antwerp,1,1,4,1,2,5,1,0
2025-08-17,First Division A,2025-26,St Truiden,RAAL La Louviere,2,1,4,5,3,9,1,1
2025-08-17,First Division A,2025-26,Dender,Anderlecht,0,2,2,7,2,9,0,0
2025-08-23,First Division A,2025-26,Standard,Cercle Brugge,0,3,4,3,3,7,0,1
2025-08-23,First Division A,2025-26,Waregem,St Truiden,0,2,2,11,2,13,0,0
2025-08-24,First Division A,2025-26,Antwerp,Mechelen,2,1,6,13,3,19,1,1
2025-08-24,First Division A,2025-26,RAAL La Louviere,St. Gilloise,0,0,5,2,0,7,0,0
2025-08-24,First Division A,2025-26,Dender,Oud-Heverlee Leuven,0,1,4,6,1,10,0,0
2025-08-29,First Division A,2025-26,Cercle Brugge,St Truiden,1,1,3,8,2,11,1,0
2025-08-30,First Division A,2025-26,Mechelen,RAAL La Louviere,3,2,4,6,5,10,1,1
2025-08-30,First Division A,2025-26,Westerlo,Antwerp,2,0,5,4,2,9,0,0
2025-08-30,First Division A,2025-26,Charleroi,Dender,3,1,5,4,4,9,1,1
2025-08-31,First Division A,2025-26,Gent,Club Brugge,1,1,6,7,2,13,1,0
2025-08-31,First Division A,2025-26,Oud-Heverlee Leuven,Standard,1,0,4,4,1,8,0,0
2025-08-31,First Division A,2025-26,St. Gilloise,Anderlecht,2,0,5,5,2,10,0,0
2025-08-31,First Division A,2025-26,Genk,Waregem,3,2,5,4,5,9,1,1
2025-09-12,First Division A,2025-26,Standard,Mechelen,1,1,12,5,2,17,1,0
