fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2017-08-18,Bundesliga,2017-18,Bayern Munich,Leverkusen,3,1,4,5,4,9,1,1
2017-08-19,Bundesliga,2017-18,Hamburg,Augsburg,1,0,3,7,1,10,0,0
2017-08-19,Bundesliga,2017-18,Hertha,Stuttgart,2,0,5,1,2,6,0,0
2017-08-19,Bundesliga,2017-18,Hoffenheim,Werder Bremen,1,0,6,4,1,10,0,0
2017-08-19,Bundesliga,2017-18,Mainz,Hannover,0,1,13,1,1,14,0,0
2017-08-19,Bundesliga,2017-18,Schalke 04,RB Leipzig,2,0,4,5,2,9,0,0
2017-08-19,Bundesliga,2017-18,Wolfsburg,Dortmund,0,3,3,5,3,8,0,1
2017-08-20,Bundesliga,2017-18,M'gladbach,FC Koln,1,0,5,3,1,8,0,0
2017-08-20,Bundesliga,2017-18,Freiburg,Ein Frankfurt,0,0,3,7,0,10,0,0
2017-08-25,Bundesliga,2017-18,FC Koln,Hamburg,1,3,6,7,4,13,1,1
2017-08-26,Bundesliga,2017-18,Augsburg,M'gladbach,2,2,10,0,4,10,1,1
2017-08-26,Bundesliga,2017-18,Dortmund,Hertha,2,0,4,4,2,8,0,0
2017-08-26,Bundesliga,2017-18,Ein Frankfurt,Wolfsburg,0,1,7,2,1,9,0,0
2017-08-26,Bundesliga,2017-18,Leverkusen,Hoffenheim,2,2,6,1,4,7,1,1
2017-08-26,Bundesliga,2017-18,Stuttgart,Mainz,1,0,5,6,1,11,0,0
2017-08-26,Bundesliga,2017-18,Werder Bremen,Bayern Munich,0,2,2,8,2,10,0,0
2017-08-27,Bundesliga,2017-18,Hannover,Schalke 04,1,0,2,6,1,8,0,0
2017-08-27,Bundesliga,2017-18,RB Leipzig,Freiburg,4,1,8,2,5,10,1,1
2017-09-08,Bundesliga,2017-18,Hamburg,RB Leipzig,0,2,4,14,2,18,0,0
2017-09-09,Bundesliga,2017-18,Augsburg,FC Koln,3,0,6,9,3,15,0,1
2017-09-09,Bundesliga,2017-18,Freiburg,Dortmund,0,0,0,7,0,7,0,0
2017-09-09,Bundesliga,2017-18,Hoffenheim,Bayern Munich,2,0,2,4,2,6,0,0
2017-09-09,Bundesliga,2017-18,Mainz,Leverkusen,3,1,1,3,4,4,1,1
2017-09-09,Bundesliga,2017-18,M'gladbach,Ein Frankfurt,0,1,13,5,1,18,0,0
2017-09-09,Bundesliga,2017-18,Wolfsburg,Hannover,1,1,3,1,2,4,1,0
2017-09-10,Bundesliga,2017-18,Hertha,Werder Bremen,1,1,5,7,2,12,1,0
2017-09-10,Bundesliga,2017-18,Schalke 04,Stuttgart,3,1,2,1,4,3,1,1
2017-09-15,Bundesliga,2017-18,Hannover,Hamburg,2,0,4,7,2,11,0,0
2017-09-16,Bundesliga,2017-18,Werder Bremen,Schalke 04,1,2,6,5,3,11,1,1
2017-09-16,Bundesliga,2017-18,Stuttgart,Wolfsburg,1,0,2,3,1,5,0,0
2017-09-16,Bundesliga,2017-18,Bayern Munich,Mainz,4,0,10,5,4,15,0,1
2017-09-16,Bundesliga,2017-18,Ein Frankfurt,Augsburg,1,2,4,4,3,8,1,1
2017-09-16,Bundesliga,2017-18,RB Leipzig,M'gladbach,2,2,3,2,4,5,1,1
2017-09-17,Bundesliga,2017-18,Dortmund,FC Koln,5,0,8,5,5,13,0,1
2017-09-17,Bundesliga,2017-18,Hoffenheim,Hertha,1,1,5,2,2,7,1,0
2017-09-17,Bundesliga,2017-18,Leverkusen,Freiburg,4,0,5,4,4,9,0,1
2017-09-19,Bundesliga,2017-18,Wolfsburg,Werder Bremen,1,1,3,4,2,7,1,0
2017-09-19,Bundesliga,2017-18,Schalke 04,Bayern Munich,0,3,2,6,3,8,0,1
2017-09-19,Bundesliga,2017-18,M'gladbach,Stuttgart,2,0,4,1,2,5,0,0
2017-09-19,Bundesliga,2017-18,Augsburg,RB Leipzig,1,0,3,2,1,5,0,0
2017-09-20,Bundesliga,2017-18,FC Koln,Ein Frankfurt,0,1,4,5,1,9,0,0
2017-09-20,Bundesliga,2017-18,Freiburg,Hannover,1,1,5,3,2,8,1,0
2017-09-20,Bundesliga,2017-18,Hamburg,Dortmund,0,3,4,3,3,7,0,1
2017-09-20,Bundesliga,2017-18,Hertha,Leverkusen,2,1,3,6,3,9,1,1
2017-09-20,Bundesliga,2017-18,Mainz,Hoffenheim,2,3,5,11,5,16,1,1
2017-09-22,Bundesliga,2017-18,Bayern Munich,Wolfsburg,2,2,7,3,4,10,1,1
2017-09-23,Bundesliga,2017-18,Werder Bremen,Freiburg,0,0,4,5,0,9,0,0
2017-09-23,Bundesliga,2017-18,Stuttgart,Augsburg,0,0,5,3,0,8,0,0
2017-09-23,Bundesliga,2017-18,RB Leipzig,Ein Frankfurt,2,1,2,4,3,6,1,1
2017-09-23,Bundesliga,2017-18,Hoffenheim,Schalke 04,2,0,0,5,2,5,0,0
2017-09-23,Bundesliga,2017-18,Dortmund,M'gladbach,6,1,7,0,7,7,1,1
2017-09-23,Bundesliga,2017-18,Mainz,Hertha,1,0,4,1,1,5,0,0
2017-09-24,Bundesliga,2017-18,Hannover,FC Koln,0,0,6,7,0,13,0,0
2017-09-24,Bundesliga,2017-18,Leverkusen,Hamburg,3,0,6,3,3,9,0,1
2017-09-29,Bundesliga,2017-18,Schalke 04,Leverkusen,1,1,7,4,2,11,1,0
2017-09-30,Bundesliga,2017-18,Wolfsburg,Mainz,1,1,5,6,2,11,1,0
2017-09-30,Bundesliga,2017-18,M'gladbach,Hannover,2,1,8,7,3,15,1,1
2017-09-30,Bundesliga,2017-18,Ein Frankfurt,Stuttgart,2,1,3,6,3,9,1,1
2017-09-30,Bundesliga,2017-18,Augsburg,Dortmund,1,2,5,5,3,10,1,1
2017-09-30,Bundesliga,2017-18,Hamburg,Werder Bremen,0,0,6,7,0,13,0,0
2017-10-01,Bundesliga,2017-18,FC Koln,RB Leipzig,1,2,9,7,3,16,1,1
2017-10-01,Bundesliga,2017-18,Freiburg,Hoffenheim,3,2,9,7,5,16,1,1
2017-10-01,Bundesliga,2017-18,Hertha,Bayern Munich,2,2,1,9,4,10,1,1
2017-10-13,Bundesliga,2017-18,Stuttgart,FC Koln,2,1,5,4,3,9,1,1
2017-10-14,Bundesliga,2017-18,Hannover,Ein Frankfurt,1,2,6,5,3,11,1,1
2017-10-14,Bundesliga,2017-18,Bayern Munich,Freiburg,5,0,9,1,5,10,0,1
2017-10-14,Bundesliga,2017-18,Dortmund,RB Leipzig,2,3,3,2,5,5,1,1
2017-10-14,Bundesliga,2017-18,Hertha,Schalke 04,0,2,1,5,2,6,0,0
2017-10-14,Bundesliga,2017-18,Hoffenheim,Augsburg,2,2,6,3,4,9,1,1
2017-10-14,Bundesliga,2017-18,Mainz,Hamburg,3,2,4,2,5,6,1,1
2017-10-15,Bundesliga,2017-18,Leverkusen,Wolfsburg,2,2,11,2,4,13,1,1
2017-10-15,Bundesliga,2017-18,Werder Bremen,M'gladbach,0,2,5,5,2,10,0,0
2017-10-20,Bundesliga,2017-18,Schalke 04,Mainz,2,0,5,1,2,6,0,0
2017-10-21,Bundesliga,2017-18,RB Leipzig,Stuttgart,1,0,3,5,1,8,0,0
2017-10-21,Bundesliga,2017-18,M'gladbach,Leverkusen,1,5,4,4,6,8,1,1
2017-10-21,Bundesliga,2017-18,Hamburg,Bayern Munich,0,1,7,7,1,14,0,0
2017-10-21,Bundesliga,2017-18,Ein Frankfurt,Dortmund,2,2,4,4,4,8,1,1
2017-10-21,Bundesliga,2017-18,Augsburg,Hannover,1,2,11,2,3,13,1,1
2017-10-22,Bundesliga,2017-18,FC Koln,Werder Bremen,0,0,3,6,0,9,0,0
2017-10-22,Bundesliga,2017-18,Freiburg,Hertha,1,1,6,1,2,7,1,0
2017-10-22,Bundesliga,2017-18,Wolfsburg,Hoffenheim,1,1,8,4,2,12,1,0
2017-10-27,Bundesliga,2017-18,Mainz,Ein Frankfurt,1,1,5,5,2,10,1,0
2017-10-28,Bundesliga,2017-18,Schalke 04,Wolfsburg,1,1,4,2,2,6,1,0
2017-10-28,Bundesliga,2017-18,Leverkusen,FC Koln,2,1,8,10,3,18,1,1
2017-10-28,Bundesliga,2017-18,Hoffenheim,M'gladbach,1,3,5,5,4,10,1,1
2017-10-28,Bundesliga,2017-18,Hertha,Hamburg,2,1,9,11,3,20,1,1
2017-10-28,Bundesliga,2017-18,Hannover,Dortmund,4,2,5,6,6,11,1,1
2017-10-28,Bundesliga,2017-18,Bayern Munich,RB Leipzig,2,0,11,1,2,12,0,0
2017-10-29,Bundesliga,2017-18,Stuttgart,Freiburg,3,0,6,0,3,6,0,1
2017-10-29,Bundesliga,2017-18,Werder Bremen,Augsburg,0,3,7,3,3,10,0,1
2017-11-03,Bundesliga,2017-18,Ein Frankfurt,Werder Bremen,2,1,7,8,3,15,1,1
2017-11-04,Bundesliga,2017-18,RB Leipzig,Hannover,2,1,2,3,3,5,1,1
2017-11-04,Bundesliga,2017-18,M'gladbach,Mainz,1,1,9,9,2,18,1,0
2017-11-04,Bundesliga,2017-18,Hamburg,Stuttgart,3,1,11,3,4,14,1,1
2017-11-04,Bundesliga,2017-18,Freiburg,Schalke 04,0,1,6,1,1,7,0,0
2017-11-04,Bundesliga,2017-18,Dortmund,Bayern Munich,1,3,4,3,4,7,1,1
2017-11-04,Bundesliga,2017-18,Augsburg,Leverkusen,1,1,6,3,2,9,1,0
2017-11-05,Bundesliga,2017-18,FC Koln,Hoffenheim,0,3,7,6,3,13,0,1
2017-11-05,Bundesliga,2017-18,Wolfsburg,Hertha,3,3,4,2,6,6,1,1
2017-11-17,Bundesliga,2017-18,Stuttgart,Dortmund,2,1,5,4,3,9,1,1
2017-11-18,Bundesliga,2017-18,Bayern Munich,Augsburg,3,0,6,3,3,9,0,1
2017-11-18,Bundesliga,2017-18,Hertha,M'gladbach,2,4,8,2,6,10,1,1
2017-11-18,Bundesliga,2017-18,Hoffenheim,Ein Frankfurt,1,1,4,3,2,7,1,0
2017-11-18,Bundesliga,2017-18,Leverkusen,RB Leipzig,2,2,2,1,4,3,1,1
2017-11-18,Bundesliga,2017-18,Mainz,FC Koln,1,0,0,3,1,3,0,0
2017-11-18,Bundesliga,2017-18,Wolfsburg,Freiburg,3,1,1,3,4,4,1,1
2017-11-19,Bundesliga,2017-18,Schalke 04,Hamburg,2,0,7,6,2,13,0,0
2017-11-19,Bundesliga,2017-18,Werder Bremen,Hannover,4,0,3,2,4,5,0,1
2017-11-24,Bundesliga,2017-18,Hannover,Stuttgart,1,1,4,5,2,9,1,0
2017-11-25,Bundesliga,2017-18,RB Leipzig,Werder Bremen,2,0,8,8,2,16,0,0
