fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2023-08-18,Bundesliga,2023-24,Werder Bremen,Bayern Munich,0,4,0,6,2,1,0,0,4,6,3,0,0,1,7.5,6.5,1.3,8.59,6.36,1.33
2023-08-19,Bundesliga,2023-24,Augsburg,M'gladbach,4,4,8,7,1,2,0,0,8,15,3,0,1,1,2.7,3.6,2.45,2.74,3.78,2.51
2023-08-19,Bundesliga,2023-24,Hoffenheim,Freiburg,1,2,4,2,0,1,0,0,3,6,1,0,1,1,2.3,3.6,2.9,2.43,3.67,2.92
2023-08-19,Bundesliga,2023-24,Leverkusen,RB Leipzig,3,2,4,5,1,2,0,0,5,9,3,0,1,1,2.45,3.6,2.75,2.5,3.61,2.85
2023-08-19,Bundesliga,2023-24,Stuttgart,Bochum,5,0,7,0,1,1,0,0,5,7,2,0,0,1,1.65,4.33,4.5,1.7,4.25,4.78
2023-08-19,Bundesliga,2023-24,Wolfsburg,Heidenheim,2,0,1,7,3,0,0,0,2,8,3,0,0,0,1.6,4.2,5.25,1.62,4.49,5.24
2023-08-19,Bundesliga,2023-24,Dortmund,FC Koln,1,0,6,3,1,0,0,0,1,9,1,0,0,0,1.4,5.0,7.0,1.41,5.42,7.25
2023-08-20,Bundesliga,2023-24,Union Berlin,Mainz,4,1,3,1,1,5,0,0,5,4,6,0,1,1,1.95,3.5,3.9,2.02,3.5,4.02
2023-08-20,Bundesliga,2023-24,Ein Frankfurt,Darmstadt,1,0,7,3,2,3,0,0,1,10,5,0,0,0,1.36,5.25,7.5,1.4,5.42,7.44
2023-08-25,Bundesliga,2023-24,RB Leipzig,Stuttgart,5,1,4,4,1,1,0,0,6,8,2,0,1,1,1.5,4.75,5.75,1.53,4.69,6.14
2023-08-26,Bundesliga,2023-24,M'gladbach,Leverkusen,0,3,5,8,2,3,0,0,3,13,5,0,0,1,3.8,3.8,1.85,3.73,4.2,1.91
2023-08-26,Bundesliga,2023-24,Heidenheim,Hoffenheim,2,3,10,6,1,5,0,0,5,16,6,0,1,1,3.0,3.6,2.25,2.96,3.81,2.34
2023-08-26,Bundesliga,2023-24,Freiburg,Werder Bremen,1,0,5,5,2,2,0,0,1,10,4,0,0,0,1.7,3.75,4.75,1.72,4.15,4.76
2023-08-26,Bundesliga,2023-24,Bochum,Dortmund,1,1,5,4,2,1,0,0,2,9,3,0,1,0,7.0,5.0,1.4,6.63,5.36,1.44
2023-08-26,Bundesliga,2023-24,Darmstadt,Union Berlin,1,4,3,5,2,2,0,1,5,8,4,1,1,1,4.0,3.3,1.95,3.94,3.42,2.08
2023-08-26,Bundesliga,2023-24,FC Koln,Wolfsburg,1,2,6,1,1,5,0,0,3,7,6,0,1,1,2.3,3.4,3.0,2.41,3.53,3.04
2023-08-27,Bundesliga,2023-24,Mainz,Ein Frankfurt,1,1,5,4,3,4,0,1,2,9,7,1,1,0,2.38,3.5,2.88,2.39,3.74,2.92
2023-08-27,Bundesliga,2023-24,Bayern Munich,Augsburg,3,1,10,4,1,2,0,0,4,14,3,0,1,1,1.08,12.0,19.0,1.09,14.24,22.48
2023-09-01,Bundesliga,2023-24,Dortmund,Heidenheim,2,2,3,6,3,3,0,0,4,9,6,0,1,1,1.25,7.0,9.5,1.26,7.07,10.23
2023-09-02,Bundesliga,2023-24,Werder Bremen,Mainz,4,0,1,7,2,2,0,0,4,8,4,0,0,1,2.63,3.5,2.55,2.76,3.55,2.61
2023-09-02,Bundesliga,2023-24,M'gladbach,Bayern Munich,1,2,1,15,0,2,0,0,3,16,2,0,1,1,8.5,5.75,1.3,7.93,6.61,1.31
2023-09-02,Bundesliga,2023-24,Stuttgart,Freiburg,5,0,2,4,1,1,0,0,5,6,2,0,0,1,2.2,3.5,3.2,2.18,3.79,3.28
2023-09-02,Bundesliga,2023-24,Augsburg,Bochum,2,2,3,5,2,2,0,0,4,8,4,0,1,1,2.0,3.75,3.75,2.09,3.67,3.61
2023-09-02,Bundesliga,2023-24,Hoffenheim,Wolfsburg,3,1,3,3,2,2,0,0,4,6,4,0,1,1,2.5,3.6,2.63,2.48,3.86,2.73
2023-09-02,Bundesliga,2023-24,Leverkusen,Darmstadt,5,1,4,2,3,2,0,0,6,6,5,0,1,1,1.2,7.0,12.0,1.2,7.79,13.72
2023-09-03,Bundesliga,2023-24,Ein Frankfurt,FC Koln,1,1,8,1,1,3,0,0,2,9,4,0,1,0,2.1,3.4,3.5,2.18,3.49,3.54
