fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2024-08-23,Bundesliga,2024-25,M'gladbach,Leverkusen,2,3,2,4,1,0,0,0,5,6,1,0,1,1
2024-08-24,Bundesliga,2024-25,Augsburg,Werder Bremen,2,2,4,2,3,1,0,0,4,6,4,0,1,1
2024-08-24,Bundesliga,2024-25,Freiburg,Stuttgart,3,1,6,3,2,1,0,0,4,9,3,0,1,1
2024-08-24,Bundesliga,2024-25,Hoffenheim,Holstein Kiel,3,2,8,6,2,3,0,1,5,14,5,1,1,1
2024-08-24,Bundesliga,2024-25,Mainz,Union Berlin,1,1,8,9,1,3,0,0,2,17,4,0,1,0
2024-08-24,Bundesliga,2024-25,RB Leipzig,Bochum,1,0,9,3,1,3,1,0,1,12,4,1,0,0
2024-08-24,Bundesliga,2024-25,Dortmund,Ein Frankfurt,2,0,7,7,0,1,0,0,2,14,1,0,0,0
2024-08-25,Bundesliga,2024-25,Wolfsburg,Bayern Munich,2,3,1,7,2,3,0,0,5,8,5,0,1,1
2024-08-25,Bundesliga,2024-25,St Pauli,Heidenheim,0,2,4,2,2,3,0,0,2,6,5,0,0,0
2024-08-30,Bundesliga,2024-25,Union Berlin,St Pauli,1,0,5,4,3,1,0,0,1,9,4,0,0,0
2024-08-31,Bundesliga,2024-25,Leverkusen,RB Leipzig,2,3,18,2,3,1,0,0,5,20,4,0,1,1
2024-08-31,Bundesliga,2024-25,Werder Bremen,Dortmund,0,0,5,6,2,7,0,1,0,11,9,1,0,0
2024-08-31,Bundesliga,2024-25,Stuttgart,Mainz,3,3,11,2,4,2,0,0,6,13,6,0,1,1
2024-08-31,Bundesliga,2024-25,Bochum,M'gladbach,0,2,3,4,1,0,0,0,2,7,1,0,0,0
2024-08-31,Bundesliga,2024-25,Ein Frankfurt,Hoffenheim,3,1,1,4,0,3,0,0,4,5,3,0,1,1
2024-08-31,Bundesliga,2024-25,Holstein Kiel,Wolfsburg,0,2,1,7,4,7,0,0,2,8,11,0,0,0
2024-09-01,Bundesliga,2024-25,Heidenheim,Augsburg,4,0,5,6,0,3,0,0,4,11,3,0,0,1
2024-09-01,Bundesliga,2024-25,Bayern Munich,Freiburg,2,0,2,4,1,0,0,0,2,6,1,0,0,0
2024-09-13,Bundesliga,2024-25,Dortmund,Heidenheim,4,2,8,1,2,2,0,0,6,9,4,0,1,1
2024-09-14,Bundesliga,2024-25,Wolfsburg,Ein Frankfurt,1,2,5,4,1,2,0,0,3,9,3,0,1,1
2024-09-14,Bundesliga,2024-25,Holstein Kiel,Bayern Munich,1,6,2,10,0,1,0,0,7,12,1,0,1,1
2024-09-14,Bundesliga,2024-25,RB Leipzig,Union Berlin,0,0,6,5,2,3,0,0,0,11,5,0,0,0
2024-09-14,Bundesliga,2024-25,Freiburg,Bochum,2,1,5,6,0,3,0,0,3,11,3,0,1,1
2024-09-14,Bundesliga,2024-25,Hoffenheim,Leverkusen,1,4,4,12,2,2,0,0,5,16,4,0,1,1
