fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2018-08-10,Premier League,2018-19,Man United,Leicester,2,1,2,5,2,1,0,0,3,7,3,0,1,1,1.57,3.9,7.5,1.58,3.93,7.5
2018-08-11,Premier League,2018-19,Bournemouth,Cardiff,2,0,7,4,1,1,0,0,2,11,2,0,0,0,1.9,3.6,4.5,1.89,3.63,4.58
2018-08-11,Premier League,2018-19,Fulham,Crystal Palace,0,2,5,5,1,2,0,0,2,10,3,0,0,0,2.5,3.4,3.0,2.5,3.46,3.0
2018-08-11,Premier League,2018-19,Huddersfield,Chelsea,0,3,2,5,2,1,0,0,3,7,3,0,0,1,6.5,4.0,1.61,6.41,4.02,1.62
2018-08-11,Premier League,2018-19,Newcastle,Tottenham,1,2,3,5,2,2,0,0,3,8,4,0,1,1,3.9,3.5,2.04,3.83,3.57,2.08
2018-08-11,Premier League,2018-19,Watford,Brighton,2,0,8,2,2,2,0,0,2,10,4,0,0,0,2.37,3.2,3.4,2.43,3.22,3.33
2018-08-11,Premier League,2018-19,Wolves,Everton,2,2,3,6,0,1,0,1,4,9,1,1,1,1,2.37,3.3,3.3,2.36,3.4,3.28
2018-08-12,Premier League,2018-19,Arsenal,Man City,0,2,2,9,2,2,0,0,2,11,4,0,0,0,4.0,3.8,1.95,4.0,3.97,1.93
2018-08-12,Premier League,2018-19,Liverpool,West Ham,4,0,5,4,1,2,0,0,4,9,3,0,0,1,1.25,6.5,14.0,1.27,6.35,13.25
2018-08-12,Premier League,2018-19,Southampton,Burnley,0,0,8,5,0,1,0,0,0,13,1,0,0,0,1.85,3.5,5.0,1.86,3.51,4.99
2018-08-18,Premier League,2018-19,West Ham,Bournemouth,1,2,6,4,6,2,0,0,3,10,8,0,1,1,2.1,3.6,3.7,2.09,3.65,3.69
2018-08-18,Premier League,2018-19,Tottenham,Fulham,3,1,5,2,0,0,0,0,4,7,0,0,1,1,1.28,6.0,12.0,1.28,6.29,12.44
2018-08-18,Premier League,2018-19,Leicester,Wolves,2,0,1,9,2,1,1,0,2,10,3,1,0,0,2.04,3.5,3.9,2.05,3.56,3.9
2018-08-18,Premier League,2018-19,Chelsea,Arsenal,3,2,5,1,0,2,0,0,5,6,2,0,1,1,1.8,4.0,4.5,1.83,3.97,4.46
2018-08-18,Premier League,2018-19,Cardiff,Newcastle,0,0,5,5,2,2,0,1,0,10,4,1,0,0,3.25,3.1,2.54,3.25,3.12,2.54
2018-08-18,Premier League,2018-19,Everton,Southampton,2,1,2,5,0,5,0,0,3,7,5,0,1,1,1.9,3.5,4.75,1.89,3.56,4.71
2018-08-19,Premier League,2018-19,Brighton,Man United,3,2,3,5,1,1,0,0,5,8,2,0,1,1,5.5,3.6,1.75,5.37,3.56,1.81
2018-08-19,Premier League,2018-19,Burnley,Watford,1,3,5,2,1,2,0,0,4,7,3,0,1,1,2.45,3.1,3.4,2.47,3.08,3.37
2018-08-19,Premier League,2018-19,Man City,Huddersfield,6,1,10,3,0,2,0,0,7,13,2,0,1,1,1.1,13.0,26.0,1.1,12.39,32.7
2018-08-20,Premier League,2018-19,Crystal Palace,Liverpool,0,2,6,7,1,1,1,0,2,13,2,1,0,0,7.0,5.0,1.44,7.34,5.09,1.45
2018-08-25,Premier League,2018-19,Southampton,Leicester,1,2,10,3,1,1,1,0,3,13,2,1,1,1,2.45,3.2,3.25,2.45,3.34,3.18
2018-08-25,Premier League,2018-19,Wolves,Man City,1,1,5,9,1,2,0,0,2,14,3,0,1,0,11.0,6.5,1.28,12.1,6.52,1.27
2018-08-25,Premier League,2018-19,Liverpool,Brighton,1,0,8,5,1,1,0,0,1,13,2,0,0,0,1.16,8.5,19.0,1.17,8.54,21.13
2018-08-25,Premier League,2018-19,Bournemouth,Everton,2,2,6,2,0,3,1,1,4,8,3,2,1,1,2.62,3.6,2.75,2.63,3.58,2.77
2018-08-25,Premier League,2018-19,Arsenal,West Ham,3,1,10,2,1,3,0,0,4,12,4,0,1,1,1.36,5.5,9.0,1.38,5.52,8.77
2018-08-25,Premier League,2018-19,Huddersfield,Cardiff,0,0,7,7,0,1,1,0,0,14,1,1,0,0,2.37,3.0,3.7,2.34,3.1,3.68
2018-08-26,Premier League,2018-19,Fulham,Burnley,4,2,6,4,2,1,0,0,6,10,3,0,1,1,2.0,3.4,4.33,1.97,3.47,4.4
2018-08-26,Premier League,2018-19,Newcastle,Chelsea,1,2,4,5,3,1,0,0,3,9,4,0,1,1,5.75,4.0,1.66,5.49,4.06,1.68
2018-08-26,Premier League,2018-19,Watford,Crystal Palace,2,1,6,3,4,2,0,0,3,9,6,0,1,1,2.6,3.25,3.0,2.61,3.33,2.96
2018-08-27,Premier League,2018-19,Man United,Tottenham,0,3,5,2,2,4,0,0,3,7,6,0,0,1,2.62,3.3,2.9,2.61,3.36,2.93
2018-09-01,Premier League,2018-19,Everton,Huddersfield,1,1,4,3,3,3,0,0,2,7,6,0,1,0,1.53,4.2,7.5,1.5,4.3,8.06
2018-09-01,Premier League,2018-19,Brighton,Fulham,2,2,7,1,3,3,0,0,4,8,6,0,1,1,2.3,3.4,3.4,2.24,3.45,3.47
2018-09-01,Premier League,2018-19,Chelsea,Bournemouth,2,0,7,6,2,2,0,0,2,13,4,0,0,0,1.3,6.0,11.0,1.3,6.3,10.73
2018-09-01,Premier League,2018-19,Crystal Palace,Southampton,0,2,7,4,1,1,0,0,2,11,2,0,0,0,2.0,3.5,4.2,1.95,3.5,4.47
2018-09-01,Premier League,2018-19,Leicester,Liverpool,1,2,4,4,3,2,0,0,3,8,5,0,1,1,7.5,5.0,1.44,7.5,4.96,1.45
2018-09-01,Premier League,2018-19,Man City,Newcastle,2,1,4,0,0,0,0,0,3,4,0,0,1,1,1.11,11.0,26.0,1.12,10.57,27.95
2018-09-01,Premier League,2018-19,West Ham,Wolves,0,1,4,4,2,1,0,0,1,8,3,0,0,0,2.6,3.4,2.87,2.58,3.44,2.91
2018-09-02,Premier League,2018-19,Burnley,Man United,0,2,2,5,2,3,0,1,2,7,5,1,0,0,6.0,3.75,1.7,5.94,3.85,1.68
2018-09-02,Premier League,2018-19,Cardiff,Arsenal,2,3,3,9,3,4,0,0,5,12,7,0,1,1,6.5,4.33,1.57,6.35,4.54,1.55
2018-09-02,Premier League,2018-19,Watford,Tottenham,2,1,3,10,2,1,0,0,3,13,3,0,1,1,5.5,4.2,1.64,5.5,4.19,1.66
