fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2015-08-07,Championship,2015-16,Brighton,Nott'm Forest,1,0,10,3,4,2,0,0,1,13,6,0,0,0
2015-08-08,Championship,2015-16,Sheffield Weds,Bristol City,2,0,7,2,1,3,0,0,2,9,4,0,0,0
2015-08-08,Championship,2015-16,Rotherham,Milton Keynes Dons,1,4,12,2,1,3,0,0,5,14,4,0,1,1
2015-08-08,Championship,2015-16,Hull,Huddersfield,2,0,8,4,1,3,0,0,2,12,4,0,0,0
2015-08-08,Championship,2015-16,Charlton,QPR,2,0,3,11,3,2,0,0,2,14,5,0,0,0
2015-08-08,Championship,2015-16,Leeds,Burnley,1,1,4,4,1,2,0,0,2,8,3,0,1,0
2015-08-08,Championship,2015-16,Brentford,Ipswich,2,2,9,5,1,0,0,0,4,14,1,0,1,1
2015-08-08,Championship,2015-16,Bolton,Derby,0,0,4,9,1,1,1,0,0,13,2,1,0,0
2015-08-08,Championship,2015-16,Blackburn,Wolves,1,2,4,3,2,3,0,0,3,7,5,0,1,1
2015-08-08,Championship,2015-16,Birmingham,Reading,2,1,2,5,4,5,0,0,3,7,9,0,1,1
2015-08-08,Championship,2015-16,Cardiff,Fulham,1,1,7,3,1,1,0,0,2,10,2,0,1,0
2015-08-09,Championship,2015-16,Preston,Middlesbrough,0,0,1,1,2,1,0,0,0,2,3,0,0,0
2015-08-15,Championship,2015-16,Middlesbrough,Bolton,3,0,7,3,0,0,0,0,3,10,0,0,0,1
2015-08-15,Championship,2015-16,QPR,Cardiff,2,2,9,5,0,0,0,0,4,14,0,0,1,1
2015-08-15,Championship,2015-16,Nott'm Forest,Rotherham,2,1,11,7,2,3,0,0,3,18,5,0,1,1
2015-08-15,Championship,2015-16,Milton Keynes Dons,Preston,0,1,10,6,1,3,0,1,1,16,4,1,0,0
2015-08-15,Championship,2015-16,Ipswich,Sheffield Weds,2,1,13,8,2,2,0,0,3,21,4,0,1,1
2015-08-15,Championship,2015-16,Huddersfield,Blackburn,1,1,7,3,2,0,0,0,2,10,2,0,1,0
2015-08-15,Championship,2015-16,Fulham,Brighton,1,2,4,9,2,2,0,0,3,13,4,0,1,1
2015-08-15,Championship,2015-16,Derby,Charlton,1,1,14,4,0,2,0,0,2,18,2,0,1,0
2015-08-15,Championship,2015-16,Burnley,Birmingham,2,2,8,5,3,1,0,0,4,13,4,0,1,1
2015-08-15,Championship,2015-16,Bristol City,Brentford,2,4,4,4,1,1,1,0,6,8,2,1,1,1
2015-08-16,Championship,2015-16,Reading,Leeds,0,0,5,4,1,3,0,0,0,9,4,0,0,0
2015-08-16,Championship,2015-16,Wolves,Hull,1,1,6,2,0,1,0,0,2,8,1,0,1,0
2015-08-18,Championship,2015-16,Blackburn,Cardiff,1,1,4,4,2,3,0,0,2,8,5,0,1,0
2015-08-18,Championship,2015-16,Derby,Middlesbrough,1,1,4,3,1,2,0,0,2,7,3,0,1,0
2015-08-18,Championship,2015-16,Huddersfield,Brighton,1,1,6,3,2,3,0,0,2,9,5,0,1,0
2015-08-18,Championship,2015-16,Ipswich,Burnley,2,0,9,3,0,1,0,0,2,12,1,0,0,0
2015-08-18,Championship,2015-16,Milton Keynes Dons,Bolton,1,0,2,13,2,3,0,0,1,15,5,0,0,0
2015-08-18,Championship,2015-16,Nott'm Forest,Charlton,0,0,4,4,3,1,0,0,0,8,4,0,0,0
2015-08-18,Championship,2015-16,Rotherham,Preston,0,0,1,4,4,2,0,0,0,5,6,0,0,0
2015-08-19,Championship,2015-16,Wolves,QPR,2,3,5,2,3,2,0,0,5,7,5,0,1,1
2015-08-19,Championship,2015-16,Sheffield Weds,Reading,1,1,1,5,2,2,0,0,2,6,4,0,1,0
2015-08-19,Championship,2015-16,Bristol City,Leeds,2,2,8,3,2,5,0,0,4,11,7,0,1,1
2015-08-19,Championship,2015-16,Hull,Fulham,2,1,6,1,0,3,0,0,3,7,3,0,1,1
2015-08-21,Championship,2015-16,Birmingham,Derby,1,1,5,8,0,2,0,0,2,13,2,0,1,0
2015-08-22,Championship,2015-16,Middlesbrough,Bristol City,0,1,8,1,1,1,0,0,1,9,2,0,0,0
2015-08-22,Championship,2015-16,Bolton,Nott'm Forest,1,1,8,3,1,4,0,0,2,11,5,0,1,0
2015-08-22,Championship,2015-16,Brighton,Blackburn,1,0,4,6,4,3,0,0,1,10,7,0,0,0
2015-08-22,Championship,2015-16,Burnley,Brentford,1,0,10,1,1,2,0,0,1,11,3,0,0,0
2015-08-22,Championship,2015-16,Cardiff,Wolves,2,0,3,4,2,1,0,0,2,7,3,0,0,0
2015-08-22,Championship,2015-16,Charlton,Hull,2,1,5,4,2,1,0,0,3,9,3,0,1,1
2015-08-22,Championship,2015-16,Fulham,Huddersfield,1,1,10,9,1,2,0,0,2,19,3,0,1,0
2015-08-22,Championship,2015-16,Leeds,Sheffield Weds,1,1,3,4,2,4,0,0,2,7,6,0,1,0
2015-08-22,Championship,2015-16,Preston,Ipswich,1,2,3,4,3,0,0,0,3,7,3,0,1,1
2015-08-22,Championship,2015-16,QPR,Rotherham,4,2,5,6,1,2,0,0,6,11,3,0,1,1
2015-08-22,Championship,2015-16,Reading,Milton Keynes Dons,0,0,8,2,1,3,0,0,0,10,4,0,0,0
2015-08-28,Championship,2015-16,Blackburn,Bolton,0,0,9,6,3,4,0,1,0,15,7,1,0,0
2015-08-29,Championship,2015-16,Nott'm Forest,Cardiff,1,2,11,2,0,4,0,0,3,13,4,0,1,1
2015-08-29,Championship,2015-16,Sheffield Weds,Middlesbrough,1,3,5,9,2,3,0,0,4,14,5,0,1,1
2015-08-29,Championship,2015-16,Rotherham,Fulham,1,3,2,6,1,2,0,0,4,8,3,0,1,1
