fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2025-08-09,Conference,2025-26,Altrincham,Aldershot,3,2,0,0,5,3,0,0,5,0,8,0,1,1
2025-08-09,Conference,2025-26,Boreham Wood,Rochdale,0,2,0,0,0,3,0,0,2,0,3,0,0,0
2025-08-09,Conference,2025-26,Brackley Town,Eastleigh,1,0,0,0,1,2,0,0,1,0,3,0,0,0
2025-08-09,Conference,2025-26,Braintree Town,Halifax,3,0,0,0,4,3,0,0,3,0,7,0,0,1
2025-08-09,Conference,2025-26,Gateshead,Southend,0,3,0,0,1,1,0,0,3,0,2,0,0,1
2025-08-09,Conference,2025-26,Solihull,Forest Green,2,2,0,0,2,0,1,0,4,0,2,1,1,1
2025-08-09,Conference,2025-26,Tamworth,Scunthorpe,1,2,0,0,2,2,0,0,3,0,4,0,1,1
2025-08-09,Conference,2025-26,Wealdstone,Truro,2,0,0,0,1,0,0,0,2,0,1,0,0,0
2025-08-09,Conference,2025-26,Woking,Carlisle,0,2,0,0,3,2,0,0,2,0,5,0,0,0
2025-08-09,Conference,2025-26,Yeovil,Hartlepool,0,0,0,0,3,2,0,0,0,0,5,0,0,0
2025-08-09,Conference,2025-26,York,Sutton,2,2,0,0,1,1,0,0,4,0,2,0,1,1
2025-08-16,Conference,2025-26,Truro,York,0,2,0,0,2,2,0,0,2,0,4,0,0,0
2025-08-16,Conference,2025-26,Wealdstone,Halifax,2,1,0,0,4,3,0,1,3,0,7,1,1,1
2025-08-16,Conference,2025-26,Sutton,Solihull,0,0,0,0,3,3,0,0,0,0,6,0,0,0
2025-08-16,Conference,2025-26,Southend,Tamworth,2,0,0,0,2,1,0,0,2,0,3,0,0,0
2025-08-16,Conference,2025-26,Scunthorpe,Woking,3,1,0,0,2,2,0,0,4,0,4,0,1,1
2025-08-16,Conference,2025-26,Eastleigh,Gateshead,0,2,0,0,2,1,0,0,2,0,3,0,0,0
2025-08-16,Conference,2025-26,Forest Green,Yeovil,2,0,0,0,1,3,0,1,2,0,4,1,0,0
2025-08-16,Conference,2025-26,Carlisle,Boreham Wood,3,3,0,0,1,1,0,0,6,0,2,0,1,1
2025-08-16,Conference,2025-26,Aldershot,Boston Utd,2,3,0,0,3,2,1,0,5,0,5,1,1,1
2025-08-16,Conference,2025-26,Rochdale,Altrincham,2,1,0,0,1,5,0,0,3,0,6,0,1,1
2025-08-16,Conference,2025-26,Hartlepool,Braintree Town,2,0,0,0,1,1,0,1,2,0,2,1,0,0
2025-08-19,Conference,2025-26,Altrincham,Hartlepool,0,2,0,0,1,1,0,0,2,0,2,0,0,0
2025-08-19,Conference,2025-26,Boston Utd,Halifax,0,1,0,0,2,3,0,0,1,0,5,0,0,0
