fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2016-08-12,Ligue 1,2016-17,Bastia,Paris SG,0,1,2,6,1,8,0,0
2016-08-12,Ligue 1,2016-17,Monaco,Guingamp,2,2,8,2,4,10,1,1
2016-08-13,Ligue 1,2016-17,Bordeaux,St Etienne,3,2,3,6,5,9,1,1
2016-08-13,Ligue 1,2016-17,Caen,Lorient,3,2,10,2,5,12,1,1
2016-08-13,Ligue 1,2016-17,Dijon,Nantes,0,1,3,4,1,7,0,0
2016-08-13,Ligue 1,2016-17,Metz,Lille,3,2,4,5,5,9,1,1
2016-08-13,Ligue 1,2016-17,Montpellier,Angers,1,0,7,2,1,9,0,0
2016-08-14,Ligue 1,2016-17,Marseille,Toulouse,0,0,9,6,0,15,0,0
2016-08-14,Ligue 1,2016-17,Nancy,Lyon,0,3,4,4,3,8,0,1
2016-08-14,Ligue 1,2016-17,Nice,Rennes,1,0,4,8,1,12,0,0
2016-08-19,Ligue 1,2016-17,Lyon,Caen,2,0,13,3,2,16,0,0
2016-08-20,Ligue 1,2016-17,Toulouse,Bordeaux,4,1,3,6,5,9,1,1
2016-08-20,Ligue 1,2016-17,Rennes,Nancy,2,0,3,7,2,10,0,0
2016-08-20,Ligue 1,2016-17,Nantes,Monaco,0,1,10,3,1,13,0,0
2016-08-20,Ligue 1,2016-17,Angers,Nice,0,1,10,3,1,13,0,0
2016-08-20,Ligue 1,2016-17,Lille,Dijon,1,0,6,5,1,11,0,0
2016-08-20,Ligue 1,2016-17,Lorient,Bastia,0,3,2,5,3,7,0,1
2016-08-21,Ligue 1,2016-17,Guingamp,Marseille,2,1,4,6,3,10,1,1
2016-08-21,Ligue 1,2016-17,Paris SG,Metz,3,0,15,2,3,17,0,1
2016-08-21,Ligue 1,2016-17,St Etienne,Montpellier,3,1,4,6,4,10,1,1
2016-08-26,Ligue 1,2016-17,Marseille,Lorient,2,0,3,4,2,7,0,0
2016-08-27,Ligue 1,2016-17,Nancy,Guingamp,0,2,5,3,2,8,0,0
2016-08-27,Ligue 1,2016-17,Nice,Lille,1,1,4,6,2,10,1,0
2016-08-27,Ligue 1,2016-17,Montpellier,Rennes,1,1,4,4,2,8,1,0
2016-08-27,Ligue 1,2016-17,Caen,Bastia,2,0,5,2,2,7,0,0
2016-08-27,Ligue 1,2016-17,Dijon,Lyon,4,2,2,10,6,12,1,1
2016-08-27,Ligue 1,2016-17,Metz,Angers,2,0,5,9,2,14,0,0
2016-08-28,Ligue 1,2016-17,Bordeaux,Nantes,1,0,4,8,1,12,0,0
2016-08-28,Ligue 1,2016-17,Monaco,Paris SG,3,1,2,7,4,9,1,1
2016-08-28,Ligue 1,2016-17,St Etienne,Toulouse,0,0,7,4,0,11,0,0
2016-09-09,Ligue 1,2016-17,Paris SG,St Etienne,1,1,4,1,2,5,1,0
2016-09-10,Ligue 1,2016-17,Lyon,Bordeaux,1,3,4,4,4,8,1,1
2016-09-10,Ligue 1,2016-17,Lorient,Nancy,0,2,8,3,2,11,0,0
2016-09-10,Ligue 1,2016-17,Lille,Monaco,1,4,8,1,5,9,1,1
2016-09-10,Ligue 1,2016-17,Guingamp,Montpellier,1,1,7,3,2,10,1,0
2016-09-10,Ligue 1,2016-17,Angers,Dijon,3,1,6,1,4,7,1,1
2016-09-10,Ligue 1,2016-17,Bastia,Toulouse,2,1,5,1,3,6,1,1
2016-09-11,Ligue 1,2016-17,Nantes,Metz,0,3,8,3,3,11,0,1
2016-09-11,Ligue 1,2016-17,Nice,Marseille,3,2,6,3,5,9,1,1
2016-09-11,Ligue 1,2016-17,Rennes,Caen,2,0,2,8,2,10,0,0
2016-09-16,Ligue 1,2016-17,Caen,Paris SG,0,6,4,3,6,7,0,1
2016-09-17,Ligue 1,2016-17,Nancy,Nantes,1,1,2,2,2,4,1,0
2016-09-17,Ligue 1,2016-17,Monaco,Rennes,3,0,3,4,3,7,0,1
2016-09-17,Ligue 1,2016-17,Toulouse,Guingamp,2,1,8,1,3,9,1,1
2016-09-17,Ligue 1,2016-17,Dijon,Metz,0,0,8,3,0,11,0,0
2016-09-17,Ligue 1,2016-17,Lorient,Lille,1,0,4,2,1,6,0,0
2016-09-17,Ligue 1,2016-17,Bordeaux,Angers,0,1,3,5,1,8,0,0
2016-09-18,Ligue 1,2016-17,Marseille,Lyon,0,0,6,1,0,7,0,0
2016-09-18,Ligue 1,2016-17,Montpellier,Nice,1,1,6,3,2,9,1,0
2016-09-18,Ligue 1,2016-17,St Etienne,Bastia,1,0,4,4,1,8,0,0
2016-09-20,Ligue 1,2016-17,Lille,Toulouse,1,2,5,3,3,8,1,1
2016-09-20,Ligue 1,2016-17,Paris SG,Dijon,3,0,5,4,3,9,0,1
2016-09-21,Ligue 1,2016-17,Metz,Bordeaux,0,3,1,6,3,7,0,1
2016-09-21,Ligue 1,2016-17,Rennes,Marseille,3,2,4,4,5,8,1,1
2016-09-21,Ligue 1,2016-17,Nice,Monaco,4,0,2,6,4,8,0,1
2016-09-21,Ligue 1,2016-17,Nantes,St Etienne,0,0,6,2,0,8,0,0
2016-09-21,Ligue 1,2016-17,Lyon,Montpellier,5,1,11,1,6,12,1,1
2016-09-21,Ligue 1,2016-17,Guingamp,Lorient,1,0,4,7,1,11,0,0
2016-09-21,Ligue 1,2016-17,Bastia,Nancy,0,0,5,3,0,8,0,0
2016-09-21,Ligue 1,2016-17,Angers,Caen,2,1,1,4,3,5,1,1
2016-09-23,Ligue 1,2016-17,Toulouse,Paris SG,2,0,3,7,2,10,0,0
2016-09-24,Ligue 1,2016-17,Bastia,Guingamp,1,0,5,1,1,6,0,0
2016-09-24,Ligue 1,2016-17,Bordeaux,Caen,0,0,4,5,0,9,0,0
2016-09-24,Ligue 1,2016-17,Dijon,Rennes,3,0,7,3,3,10,0,1
2016-09-24,Ligue 1,2016-17,Lorient,Lyon,1,0,3,8,1,11,0,0
2016-09-24,Ligue 1,2016-17,Monaco,Angers,2,1,12,7,3,19,1,1
2016-09-24,Ligue 1,2016-17,Montpellier,Metz,0,1,7,5,1,12,0,0
2016-09-25,Ligue 1,2016-17,St Etienne,Lille,3,1,4,5,4,9,1,1
2016-09-25,Ligue 1,2016-17,Nancy,Nice,0,1,6,2,1,8,0,0
2016-09-25,Ligue 1,2016-17,Marseille,Nantes,2,1,5,5,3,10,1,1
2016-09-30,Ligue 1,2016-17,Rennes,Guingamp,1,0,6,2,1,8,0,0
2016-10-01,Ligue 1,2016-17,Caen,Toulouse,1,0,4,2,1,6,0,0
2016-10-01,Ligue 1,2016-17,Dijon,Montpellier,3,3,5,4,6,9,1,1
2016-10-01,Ligue 1,2016-17,Lille,Nancy,1,0,8,4,1,12,0,0
2016-10-01,Ligue 1,2016-17,Metz,Monaco,0,7,7,4,7,11,0,1
2016-10-01,Ligue 1,2016-17,Nantes,Bastia,1,0,3,2,1,5,0,0
