fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2018-08-10,Ligue 1,2018-19,Marseille,Toulouse,4,0,5,1,1,3,0,0,4,6,4,0,0,1,1.4,4.5,8.0,1.47,4.62,7.79
2018-08-11,Ligue 1,2018-19,Angers,Nimes,3,4,5,1,2,2,0,1,7,6,4,1,1,1,2.3,3.2,3.3,2.3,3.38,3.4
2018-08-11,Ligue 1,2018-19,Lille,Rennes,3,1,2,6,1,0,0,0,4,8,1,0,1,1,2.5,3.1,3.1,2.56,3.35,2.97
2018-08-11,Ligue 1,2018-19,Montpellier,Dijon,1,2,4,2,2,2,0,0,3,6,4,0,1,1,1.72,3.5,5.5,1.74,3.79,5.34
2018-08-11,Ligue 1,2018-19,Nantes,Monaco,1,3,7,2,1,0,0,0,4,9,1,0,1,1,3.2,3.25,2.3,3.27,3.4,2.35
2018-08-11,Ligue 1,2018-19,Nice,Reims,0,1,10,2,1,2,0,0,1,12,3,0,0,0,1.85,3.5,4.5,1.94,3.52,4.41
2018-08-11,Ligue 1,2018-19,St Etienne,Guingamp,2,1,6,9,3,1,0,0,3,15,4,0,1,1,1.8,3.5,4.75,1.84,3.65,4.81
2018-08-12,Ligue 1,2018-19,Bordeaux,Strasbourg,0,2,3,10,1,0,1,0,2,13,1,1,0,0,1.7,3.6,5.0,1.8,3.65,5.11
2018-08-12,Ligue 1,2018-19,Lyon,Amiens,2,0,10,1,0,2,0,0,2,11,2,0,0,0,1.2,7.0,13.0,1.24,6.79,14.34
2018-08-12,Ligue 1,2018-19,Paris SG,Caen,3,0,6,3,1,0,0,0,3,9,1,0,0,1,1.08,12.0,23.0,1.12,10.47,23.99
2018-08-17,Ligue 1,2018-19,Reims,Lyon,1,0,0,4,2,0,0,0,1,4,2,0,0,0,4.75,4.0,1.7,5.06,4.2,1.69
2018-08-18,Ligue 1,2018-19,Rennes,Angers,1,0,3,0,1,2,0,0,1,3,3,0,0,0,1.9,3.3,4.5,1.89,3.47,4.75
2018-08-18,Ligue 1,2018-19,Monaco,Lille,0,0,8,4,0,0,0,0,0,12,0,0,0,0,1.5,4.33,6.5,1.53,4.56,6.5
2018-08-18,Ligue 1,2018-19,Guingamp,Paris SG,1,3,4,7,0,1,0,0,4,11,1,0,1,1,13.0,7.0,1.2,11.61,6.45,1.27
2018-08-18,Ligue 1,2018-19,Amiens,Montpellier,1,2,6,2,1,3,0,0,3,8,4,0,1,1,3.2,3.0,2.5,3.19,3.15,2.52
2018-08-18,Ligue 1,2018-19,Caen,Nice,1,1,5,10,2,2,0,0,2,15,4,0,1,0,2.75,3.1,2.75,2.84,3.23,2.74
2018-08-18,Ligue 1,2018-19,Dijon,Nantes,2,0,3,4,0,1,0,1,2,7,1,1,0,0,2.6,3.25,2.8,2.62,3.41,2.88
2018-08-19,Ligue 1,2018-19,Nimes,Marseille,3,1,6,7,3,1,0,0,4,13,4,0,1,1,4.75,3.8,1.72,4.54,4.11,1.78
2018-08-19,Ligue 1,2018-19,Strasbourg,St Etienne,1,1,7,2,1,2,0,1,2,9,3,1,1,0,2.6,3.2,2.8,2.76,3.3,2.77
2018-08-19,Ligue 1,2018-19,Toulouse,Bordeaux,2,1,1,2,1,1,0,0,3,3,2,0,1,1,2.6,3.1,2.9,2.61,3.19,3.04
2018-08-24,Ligue 1,2018-19,Lyon,Strasbourg,2,0,5,4,1,2,0,0,2,9,3,0,0,0,1.28,5.75,11.0,1.29,6.14,11.25
2018-08-25,Ligue 1,2018-19,Paris SG,Angers,3,1,9,1,2,0,0,0,4,10,2,0,1,1,1.07,13.0,26.0,1.08,13.43,35.68
2018-08-25,Ligue 1,2018-19,Toulouse,Nimes,1,0,3,3,1,3,0,0,1,6,4,0,0,0,2.3,3.2,3.3,2.32,3.62,3.15
2018-08-25,Ligue 1,2018-19,Nice,Dijon,0,4,5,3,2,3,0,0,4,8,5,0,0,1,1.9,3.4,4.33,1.88,3.65,4.56
2018-08-25,Ligue 1,2018-19,Amiens,Reims,4,1,4,2,1,1,0,1,5,6,2,1,1,1,2.6,3.25,2.8,2.74,3.16,2.91
2018-08-25,Ligue 1,2018-19,Montpellier,St Etienne,0,0,6,3,3,0,0,0,0,9,3,0,0,0,2.4,3.1,3.2,2.48,3.17,3.26
2018-08-25,Ligue 1,2018-19,Nantes,Caen,1,1,3,1,2,3,0,1,2,4,5,1,1,0,1.95,3.25,4.33,1.98,3.31,4.58
2018-08-26,Ligue 1,2018-19,Bordeaux,Monaco,2,1,5,8,1,2,0,0,3,13,3,0,1,1,3.1,3.3,2.37,2.99,3.55,2.45
2018-08-26,Ligue 1,2018-19,Lille,Guingamp,3,0,4,4,2,1,0,1,3,8,3,1,0,1,2.0,3.4,3.9,2.05,3.59,3.88
2018-08-26,Ligue 1,2018-19,Marseille,Rennes,2,2,8,4,1,1,0,0,4,12,2,0,1,1,1.5,4.33,6.5,1.5,4.85,6.44
2018-08-31,Ligue 1,2018-19,Lyon,Nice,0,1,10,5,0,2,0,0,1,15,2,0,0,0,1.33,5.25,9.5,1.36,5.48,9.39
2018-09-01,Ligue 1,2018-19,Strasbourg,Nantes,2,3,1,3,1,2,0,0,5,4,3,0,1,1,2.3,3.1,3.4,2.4,3.11,3.48
2018-09-01,Ligue 1,2018-19,Reims,Montpellier,0,1,5,5,0,0,0,0,1,10,0,0,0,0,2.6,3.1,2.9,2.59,3.19,3.07
2018-09-01,Ligue 1,2018-19,Nimes,Paris SG,2,4,3,4,1,3,1,1,6,7,4,2,1,1,11.0,7.0,1.22,12.43,7.4,1.23
