fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2023-08-11,Ligue 1,2023-24,Nice,Lille,1,1,3,3,3,2,0,0,2,6,5,0,1,0
2023-08-12,Ligue 1,2023-24,Marseille,Reims,2,1,10,10,1,3,0,0,3,20,4,0,1,1
2023-08-12,Ligue 1,2023-24,Paris SG,Lorient,0,0,9,2,0,0,0,0,0,11,0,0,0,0
2023-08-13,Ligue 1,2023-24,Brest,Lens,3,2,6,8,2,3,0,1,5,14,5,1,1,1
2023-08-13,Ligue 1,2023-24,Clermont,Monaco,2,4,6,2,0,4,0,0,6,8,4,0,1,1
2023-08-13,Ligue 1,2023-24,Montpellier,Le Havre,2,2,5,2,1,2,0,0,4,7,3,0,1,1
2023-08-13,Ligue 1,2023-24,Nantes,Toulouse,1,2,7,5,2,2,0,0,3,12,4,0,1,1
2023-08-13,Ligue 1,2023-24,Rennes,Metz,5,1,5,4,0,2,0,0,6,9,2,0,1,1
2023-08-13,Ligue 1,2023-24,Strasbourg,Lyon,2,1,1,6,2,2,0,0,3,7,4,0,1,1
2023-08-18,Ligue 1,2023-24,Metz,Marseille,2,2,4,9,3,2,1,0,4,13,5,1,1,1
2023-08-19,Ligue 1,2023-24,Lyon,Montpellier,1,4,6,2,4,1,1,0,5,8,5,1,1,1
2023-08-19,Ligue 1,2023-24,Toulouse,Paris SG,1,1,5,5,0,3,0,0,2,10,3,0,1,0
2023-08-20,Ligue 1,2023-24,Lens,Rennes,1,1,11,0,2,1,0,0,2,11,3,0,1,0
2023-08-20,Ligue 1,2023-24,Monaco,Strasbourg,3,0,4,3,2,1,0,0,3,7,3,0,0,1
2023-08-20,Ligue 1,2023-24,Reims,Clermont,2,0,3,10,0,0,0,0,2,13,0,0,0,0
2023-08-20,Ligue 1,2023-24,Le Havre,Brest,1,2,5,3,0,2,0,0,3,8,2,0,1,1
2023-08-20,Ligue 1,2023-24,Lille,Nantes,2,0,7,5,0,2,1,0,2,12,2,1,0,0
2023-08-20,Ligue 1,2023-24,Lorient,Nice,1,1,0,9,1,1,0,0,2,9,2,0,1,0
2023-08-25,Ligue 1,2023-24,Nantes,Monaco,3,3,1,10,2,2,0,0,6,11,4,0,1,1
2023-08-26,Ligue 1,2023-24,Marseille,Brest,2,0,3,10,0,1,0,0,2,13,1,0,0,0
2023-08-26,Ligue 1,2023-24,Paris SG,Lens,3,1,5,5,0,5,0,0,4,10,5,0,1,1
2023-08-27,Ligue 1,2023-24,Montpellier,Reims,1,3,5,3,1,1,0,0,4,8,2,0,1,1
2023-08-27,Ligue 1,2023-24,Rennes,Le Havre,2,2,5,2,1,2,0,1,4,7,3,1,1,1
2023-08-27,Ligue 1,2023-24,Clermont,Metz,0,1,10,2,1,1,0,0,1,12,2,0,0,0
2023-08-27,Ligue 1,2023-24,Strasbourg,Toulouse,2,0,3,3,1,3,0,0,2,6,4,0,0,0
2023-08-27,Ligue 1,2023-24,Lorient,Lille,4,1,5,8,2,4,0,0,5,13,6,0,1,1
