fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2021-09-11,Super League Greece,2021-22,Panetolikos,Asteras Tripolis,0,0,1,4,1,3,0,0,0,5,4,0,0,0,3.2,2.87,2.5,2.91,3.12,2.6
2021-09-11,Super League Greece,2021-22,Panathinaikos,Apollon,4,0,1,3,3,6,0,1,4,4,9,1,0,1,1.4,3.75,8.0,1.4,4.5,8.26
2021-09-12,Super League Greece,2021-22,Volos NFC,Lamia,2,1,4,8,1,2,0,0,3,12,3,0,1,1,1.9,3.0,4.0,1.97,3.28,4.17
2021-09-12,Super League Greece,2021-22,PAOK,Giannina,0,1,8,4,2,3,0,0,1,12,5,0,0,0,1.18,5.25,13.0,1.17,6.55,19.54
2021-09-12,Super League Greece,2021-22,AEK,Ionikos,3,0,8,0,3,4,0,1,3,8,7,1,0,1,1.16,6.5,17.0,1.16,6.47,23.15
2021-09-12,Super League Greece,2021-22,Olympiakos,Atromitos,0,0,9,0,1,6,0,0,0,9,7,0,0,0,1.14,7.5,17.0,1.14,7.55,21.98
2021-09-13,Super League Greece,2021-22,Aris,OFI Crete,0,0,9,2,1,3,0,0,0,11,4,0,0,0,1.4,4.2,9.0,1.37,4.5,7.63
2021-09-17,Super League Greece,2021-22,Ionikos,Aris,1,0,0,5,5,1,0,0,1,5,6,0,0,0,4.75,3.4,1.7,5.1,3.45,1.78
2021-09-18,Super League Greece,2021-22,Giannina,Panathinaikos,1,0,5,8,4,2,0,0,1,13,6,0,0,0,3.3,3.1,2.15,3.32,3.37,2.18
2021-09-19,Super League Greece,2021-22,Apollon,Volos NFC,1,3,6,1,2,3,0,0,4,7,5,0,1,1,2.3,2.87,3.2,2.19,3.33,3.34
2021-09-19,Super League Greece,2021-22,Atromitos,Panetolikos,1,2,4,8,3,1,1,0,3,12,4,1,1,1,1.7,3.2,5.5,1.74,3.73,4.64
2021-09-19,Super League Greece,2021-22,OFI Crete,AEK,3,3,4,6,5,0,0,1,6,10,5,1,1,1,5.25,3.3,1.66,4.81,3.82,1.69
2021-09-19,Super League Greece,2021-22,Asteras Tripolis,PAOK,0,1,8,2,2,2,0,0,1,10,4,0,0,0,3.6,3.0,2.05,3.24,3.43,2.2
2021-09-19,Super League Greece,2021-22,Lamia,Olympiakos,1,2,7,3,2,0,0,0,3,10,2,0,1,1,11.0,5.5,1.22,12.35,5.55,1.24
2021-09-22,Super League Greece,2021-22,Aris,Panathinaikos,1,0,4,3,5,2,0,0,1,7,7,0,0,0,2.05,3.2,3.8,2.1,3.47,3.42
2021-09-22,Super League Greece,2021-22,AEK,Lamia,1,0,6,2,1,4,0,0,1,8,5,0,0,0,1.25,5.25,13.0,1.21,6.27,13.49
2021-09-22,Super League Greece,2021-22,Olympiakos,Apollon,4,1,10,2,0,0,0,0,5,12,0,0,1,1,1.12,8.0,19.0,1.13,8.31,17.46
2021-09-22,Super League Greece,2021-22,OFI Crete,Asteras Tripolis,0,0,0,7,2,2,0,0,0,7,4,0,0,0,2.5,3.1,2.9,2.54,3.24,2.83
2021-09-22,Super League Greece,2021-22,Panetolikos,PAOK,1,2,8,2,2,3,0,0,3,10,5,0,1,1,8.0,4.0,1.44,7.97,4.11,1.44
2021-09-23,Super League Greece,2021-22,Ionikos,Giannina,0,0,4,3,0,1,0,0,0,7,1,0,0,0,2.6,2.9,2.87,2.59,3.07,2.91
2021-09-23,Super League Greece,2021-22,Volos NFC,Atromitos,3,0,8,2,3,2,0,0,3,10,5,0,0,1,2.62,3.0,2.87,2.61,3.33,2.7
2021-09-26,Super League Greece,2021-22,Asteras Tripolis,Olympiakos,0,2,4,0,2,1,0,0,2,4,3,0,0,0,5.5,4.0,1.61,5.43,3.86,1.62
2021-09-26,Super League Greece,2021-22,Panathinaikos,Volos NFC,5,1,2,7,1,2,0,0,6,9,3,0,1,1,1.57,4.0,6.0,1.55,4.13,5.69
2021-09-26,Super League Greece,2021-22,Lamia,Panetolikos,2,2,3,3,4,1,0,0,4,6,5,0,1,1,2.45,3.2,3.0,2.5,2.89,3.25
2021-09-26,Super League Greece,2021-22,PAOK,AEK,2,0,7,5,4,2,0,0,2,12,6,0,0,0,2.25,3.25,3.3,2.28,3.29,3.19
2021-09-27,Super League Greece,2021-22,Giannina,OFI Crete,1,1,7,6,0,3,0,0,2,13,3,0,1,0,2.45,3.2,3.0,2.51,3.05,3.04
2021-09-27,Super League Greece,2021-22,Apollon,Ionikos,0,0,4,5,3,2,1,0,0,9,5,1,0,0,2.45,3.2,3.0,2.41,3.1,3.16
2021-09-27,Super League Greece,2021-22,Atromitos,Aris,1,3,7,4,3,1,0,0,4,11,4,0,1,1,3.0,3.3,2.37,3.13,3.26,2.33
2021-10-02,Super League Greece,2021-22,Volos NFC,Asteras Tripolis,2,1,1,8,4,3,0,0,3,9,7,0,1,1,2.8,3.1,2.7,2.72,2.84,2.98
2021-10-02,Super League Greece,2021-22,Aris,Apollon,0,0,6,0,3,3,0,0,0,6,6,0,0,0,1.36,4.75,9.0,1.33,5.0,8.83
2021-10-03,Super League Greece,2021-22,Olympiakos,Panathinaikos,0,0,4,1,2,3,0,0,0,5,5,0,0,0,1.44,4.2,8.5,1.41,4.51,7.45
2021-10-03,Super League Greece,2021-22,Ionikos,Lamia,1,2,6,7,0,3,1,0,3,13,3,1,1,1,2.5,2.9,3.25,2.56,2.93,3.11
2021-10-03,Super League Greece,2021-22,Atromitos,Giannina,1,1,4,5,0,3,0,0,2,9,3,0,1,0,2.37,3.1,3.25,2.47,3.09,3.06
2021-10-03,Super League Greece,2021-22,Panetolikos,AEK,1,3,4,6,2,2,0,0,4,10,4,0,1,1,6.0,4.0,1.57,5.84,3.74,1.61
2021-10-03,Super League Greece,2021-22,OFI Crete,PAOK,1,3,9,2,2,3,0,0,4,11,5,0,1,1,5.5,3.4,1.72,5.54,3.4,1.71
2021-10-16,Super League Greece,2021-22,Apollon,Asteras Tripolis,0,1,2,3,3,4,0,0,1,5,7,0,0,0,3.0,3.1,2.5,2.9,3.17,2.53
2021-10-16,Super League Greece,2021-22,Panathinaikos,Ionikos,4,1,2,1,1,2,0,1,5,3,3,1,1,1,1.5,4.1,7.0,1.44,4.44,6.98
2021-10-17,Super League Greece,2021-22,Panetolikos,OFI Crete,1,2,4,7,1,3,0,0,3,11,4,0,1,1,2.4,3.2,3.1,2.55,3.05,2.99
2021-10-17,Super League Greece,2021-22,PAOK,Volos NFC,4,4,9,2,4,5,0,0,8,11,9,0,1,1,1.36,4.75,9.5,1.31,5.39,8.65
2021-10-17,Super League Greece,2021-22,AEK,Atromitos,3,0,3,8,2,1,0,0,3,11,3,0,0,1,1.36,4.75,9.5,1.31,5.33,9.06
2021-10-17,Super League Greece,2021-22,Giannina,Olympiakos,1,2,6,5,3,4,0,0,3,11,7,0,1,1,8.0,4.2,1.44,7.53,4.21,1.44
2021-10-18,Super League Greece,2021-22,Lamia,Aris,0,1,3,9,2,2,1,0,1,12,4,1,0,0,4.0,3.2,2.05,3.95,3.12,2.07
2021-10-23,Super League Greece,2021-22,Atromitos,Ionikos,0,2,9,2,1,3,0,0,2,11,4,0,0,0,1.8,3.5,4.75,1.78,3.52,4.71
