fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2022-08-19,Super League Greece,2022-23,Volos NFC,Asteras Tripolis,3,3,3,3,6,6,1,1
2022-08-20,Super League Greece,2022-23,Atromitos,OFI Crete,3,1,2,5,4,7,1,1
2022-08-20,Super League Greece,2022-23,Lamia,AEK,0,3,0,1,3,1,0,1
2022-08-20,Super League Greece,2022-23,PAOK,Panetolikos,1,0,7,4,1,11,0,0
2022-08-21,Super League Greece,2022-23,Panathinaikos,Ionikos,1,0,6,1,1,7,0,0
2022-08-21,Super League Greece,2022-23,Aris,Levadeiakos,3,0,6,3,3,9,0,1
2022-08-21,Super League Greece,2022-23,Olympiakos,Giannina,2,0,6,2,2,8,0,0
2022-08-26,Super League Greece,2022-23,Ionikos,Levadeiakos,0,0,6,2,0,8,0,0
2022-08-27,Super League Greece,2022-23,Giannina,Lamia,1,1,6,8,2,14,1,0
2022-08-27,Super League Greece,2022-23,AEK,Volos NFC,0,1,8,1,1,9,0,0
2022-08-28,Super League Greece,2022-23,Panetolikos,Aris,3,1,1,4,4,5,1,1
2022-08-28,Super League Greece,2022-23,OFI Crete,Panathinaikos,0,2,1,3,2,4,0,0
2022-08-28,Super League Greece,2022-23,PAOK,Atromitos,2,1,8,3,3,11,1,1
2022-08-29,Super League Greece,2022-23,Asteras Tripolis,Olympiakos,0,0,0,10,0,10,0,0
2022-09-03,Super League Greece,2022-23,Panathinaikos,Levadeiakos,1,0,4,5,1,9,0,0
2022-09-03,Super League Greece,2022-23,Lamia,Asteras Tripolis,0,0,5,3,0,8,0,0
2022-09-03,Super League Greece,2022-23,Olympiakos,Ionikos,3,1,4,4,4,8,1,1
2022-09-04,Super League Greece,2022-23,Atromitos,Panetolikos,1,1,9,2,2,11,1,0
2022-09-04,Super League Greece,2022-23,Volos NFC,OFI Crete,0,1,5,2,1,7,0,0
2022-09-04,Super League Greece,2022-23,AEK,Giannina,2,0,5,3,2,8,0,0
2022-09-04,Super League Greece,2022-23,Aris,PAOK,0,0,9,5,0,14,0,0
2022-09-10,Super League Greece,2022-23,OFI Crete,Panetolikos,1,2,3,2,3,5,1,1
2022-09-10,Super League Greece,2022-23,Giannina,Levadeiakos,2,1,4,1,3,5,1,1
2022-09-10,Super League Greece,2022-23,Ionikos,Atromitos,1,4,3,0,5,3,1,1
2022-09-11,Super League Greece,2022-23,Olympiakos,Volos NFC,1,1,7,2,2,9,1,0
2022-09-11,Super League Greece,2022-23,Asteras Tripolis,Aris,0,2,10,1,2,11,0,0
2022-09-11,Super League Greece,2022-23,Panathinaikos,AEK,2,1,5,2,3,7,1,1
2022-09-12,Super League Greece,2022-23,PAOK,Lamia,1,0,6,3,1,9,0,0
2022-09-17,Super League Greece,2022-23,Panathinaikos,Giannina,3,0,7,3,3,10,0,1
2022-09-17,Super League Greece,2022-23,Panetolikos,AEK,0,2,0,7,2,7,0,0
2022-09-17,Super League Greece,2022-23,Atromitos,Lamia,0,0,6,1,0,7,0,0
