fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2015-08-22,Serie A,2015-16,Lazio,Bologna,2,1,10,3,2,1,0,0,3,13,3,0,1,1
2015-08-22,Serie A,2015-16,Verona,Roma,1,1,3,7,2,1,0,0,2,10,3,0,1,0
2015-08-23,Serie A,2015-16,Empoli,Chievo,1,3,8,5,1,2,0,0,4,13,3,0,1,1
2015-08-23,Serie A,2015-16,Fiorentina,Milan,2,0,4,5,3,2,0,1,2,9,5,1,0,0
2015-08-23,Serie A,2015-16,Frosinone,Torino,1,2,3,12,2,2,0,0,3,15,4,0,1,1
2015-08-23,Serie A,2015-16,Inter,Atalanta,1,0,9,1,2,2,0,1,1,10,4,1,0,0
2015-08-23,Serie A,2015-16,Juventus,Udinese,0,1,10,2,1,3,0,0,1,12,4,0,0,0
2015-08-23,Serie A,2015-16,Palermo,Genoa,1,0,5,6,1,1,0,0,1,11,2,0,0,0
2015-08-23,Serie A,2015-16,Sampdoria,Carpi,5,2,4,8,1,3,1,0,7,12,4,1,1,1
2015-08-23,Serie A,2015-16,Sassuolo,Napoli,2,1,5,1,4,2,0,0,3,6,6,0,1,1
2015-08-29,Serie A,2015-16,Milan,Empoli,2,1,6,5,0,2,0,0,3,11,2,0,1,1
2015-08-29,Serie A,2015-16,Bologna,Sassuolo,0,1,11,5,3,1,0,0,1,16,4,0,0,0
2015-08-30,Serie A,2015-16,Atalanta,Frosinone,2,0,9,2,1,4,0,0,2,11,5,0,0,0
2015-08-30,Serie A,2015-16,Carpi,Inter,1,2,2,6,3,4,0,0,3,8,7,0,1,1
2015-08-30,Serie A,2015-16,Chievo,Lazio,4,0,2,8,0,1,0,0,4,10,1,0,0,1
2015-08-30,Serie A,2015-16,Genoa,Verona,2,0,4,4,2,2,0,0,2,8,4,0,0,0
2015-08-30,Serie A,2015-16,Napoli,Sampdoria,2,2,4,1,0,2,0,0,4,5,2,0,1,1
