fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2022-08-13,Serie A,2022-23,Milan,Udinese,4,2,5,1,6,6,1,1
2022-08-13,Serie A,2022-23,Sampdoria,Atalanta,0,2,3,2,2,5,0,0
2022-08-13,Serie A,2022-23,Lecce,Inter,1,2,6,8,3,14,1,1
2022-08-13,Serie A,2022-23,Monza,Torino,1,2,2,7,3,9,1,1
2022-08-14,Serie A,2022-23,Fiorentina,Cremonese,3,2,11,4,5,15,1,1
2022-08-14,Serie A,2022-23,Lazio,Bologna,2,1,3,2,3,5,1,1
2022-08-14,Serie A,2022-23,Salernitana,Roma,0,1,4,2,1,6,0,0
2022-08-14,Serie A,2022-23,Spezia,Empoli,1,0,6,4,1,10,0,0
2022-08-15,Serie A,2022-23,Verona,Napoli,2,5,4,8,7,12,1,1
2022-08-15,Serie A,2022-23,Juventus,Sassuolo,3,0,3,2,3,5,0,1
2022-08-20,Serie A,2022-23,Sassuolo,Lecce,1,0,5,4,1,9,0,0
2022-08-20,Serie A,2022-23,Inter,Spezia,3,0,10,4,3,14,0,1
2022-08-20,Serie A,2022-23,Udinese,Salernitana,0,0,6,6,0,12,0,0
2022-08-20,Serie A,2022-23,Torino,Lazio,0,0,6,4,0,10,0,0
2022-08-21,Serie A,2022-23,Empoli,Fiorentina,0,0,1,9,0,10,0,0
2022-08-21,Serie A,2022-23,Napoli,Monza,4,0,10,4,4,14,0,1
2022-08-21,Serie A,2022-23,Atalanta,Milan,1,1,4,6,2,10,1,0
2022-08-21,Serie A,2022-23,Bologna,Verona,1,1,9,8,2,17,1,0
2022-08-22,Serie A,2022-23,Roma,Cremonese,1,0,5,6,1,11,0,0
2022-08-22,Serie A,2022-23,Sampdoria,Juventus,0,0,3,4,0,7,0,0
2022-08-26,Serie A,2022-23,Monza,Udinese,1,2,3,5,3,8,1,1
2022-08-26,Serie A,2022-23,Lazio,Inter,3,1,2,4,4,6,1,1
2022-08-27,Serie A,2022-23,Spezia,Sassuolo,2,2,2,6,4,8,1,1
2022-08-27,Serie A,2022-23,Milan,Bologna,2,0,5,1,2,6,0,0
2022-08-27,Serie A,2022-23,Juventus,Roma,1,1,4,5,2,9,1,0
2022-08-27,Serie A,2022-23,Cremonese,Torino,1,2,3,3,3,6,1,1
2022-08-28,Serie A,2022-23,Salernitana,Sampdoria,4,0,6,3,4,9,0,1
2022-08-28,Serie A,2022-23,Verona,Atalanta,0,1,7,6,1,13,0,0
2022-08-28,Serie A,2022-23,Fiorentina,Napoli,0,0,2,3,0,5,0,0
2022-08-28,Serie A,2022-23,Lecce,Empoli,1,1,3,5,2,8,1,0
2022-08-30,Serie A,2022-23,Sassuolo,Milan,0,0,3,8,0,11,0,0
2022-08-30,Serie A,2022-23,Inter,Cremonese,3,1,6,6,4,12,1,1
2022-08-30,Serie A,2022-23,Roma,Monza,3,0,5,4,3,9,0,1
2022-08-31,Serie A,2022-23,Napoli,Lecce,1,1,6,4,2,10,1,0
2022-08-31,Serie A,2022-23,Udinese,Fiorentina,1,0,3,7,1,10,0,0
2022-08-31,Serie A,2022-23,Juventus,Spezia,2,0,7,3,2,10,0,0
2022-08-31,Serie A,2022-23,Empoli,Verona,1,1,7,10,2,17,1,0
2022-08-31,Serie A,2022-23,Sampdoria,Lazio,1,1,5,7,2,12,1,0
2022-09-01,Serie A,2022-23,Atalanta,Torino,3,1,7,2,4,9,1,1
2022-09-01,Serie A,2022-23,Bologna,Salernitana,1,1,1,8,2,9,1,0
2022-09-03,Serie A,2022-23,Fiorentina,Juventus,1,1,10,2,2,12,1,0
2022-09-03,Serie A,2022-23,Milan,Inter,3,2,2,5,5,7,1,1
2022-09-03,Serie A,2022-23,Lazio,Napoli,1,2,6,8,3,14,1,1
2022-09-04,Serie A,2022-23,Udinese,Roma,4,0,3,7,4,10,0,1
2022-09-04,Serie A,2022-23,Cremonese,Sassuolo,0,0,2,3,0,5,0,0
2022-09-04,Serie A,2022-23,Spezia,Bologna,2,2,7,2,4,9,1,1
2022-09-04,Serie A,2022-23,Verona,Sampdoria,2,1,7,2,3,9,1,1
2022-09-05,Serie A,2022-23,Torino,Lecce,1,0,4,4,1,8,0,0
2022-09-05,Serie A,2022-23,Monza,Atalanta,0,2,4,9,2,13,0,0
2022-09-05,Serie A,2022-23,Salernitana,Empoli,2,2,6,7,4,13,1,1
2022-09-10,Serie A,2022-23,Napoli,Spezia,1,0,10,5,1,15,0,0
2022-09-10,Serie A,2022-23,Inter,Torino,1,0,6,5,1,11,0,0
2022-09-10,Serie A,2022-23,Sampdoria,Milan,1,2,2,4,3,6,1,1
2022-09-11,Serie A,2022-23,Atalanta,Cremonese,1,1,3,3,2,6,1,0
2022-09-11,Serie A,2022-23,Bologna,Fiorentina,2,1,6,8,3,14,1,1
2022-09-11,Serie A,2022-23,Lecce,Monza,1,1,8,5,2,13,1,0
2022-09-11,Serie A,2022-23,Sassuolo,Udinese,1,3,5,6,4,11,1,1
2022-09-11,Serie A,2022-23,Lazio,Verona,2,0,3,5,2,8,0,0
2022-09-11,Serie A,2022-23,Juventus,Salernitana,2,2,8,2,4,10,1,1
2022-09-12,Serie A,2022-23,Empoli,Roma,1,2,7,7,3,14,1,1
2022-09-16,Serie A,2022-23,Salernitana,Lecce,1,2,4,5,3,9,1,1
2022-09-17,Serie A,2022-23,Bologna,Empoli,0,1,5,8,1,13,0,0
2022-09-17,Serie A,2022-23,Spezia,Sampdoria,2,1,3,6,3,9,1,1
2022-09-17,Serie A,2022-23,Torino,Sassuolo,0,1,4,3,1,7,0,0
2022-09-18,Serie A,2022-23,Udinese,Inter,3,1,7,4,4,11,1,1
2022-09-18,Serie A,2022-23,Cremonese,Lazio,0,4,8,5,4,13,0,1
2022-09-18,Serie A,2022-23,Fiorentina,Verona,2,0,7,3,2,10,0,0
2022-09-18,Serie A,2022-23,Monza,Juventus,1,0,5,3,1,8,0,0
2022-09-18,Serie A,2022-23,Roma,Atalanta,0,1,5,1,1,6,0,0
2022-09-18,Serie A,2022-23,Milan,Napoli,1,2,9,4,3,13,1,1
2022-10-01,Serie A,2022-23,Empoli,Milan,1,3,3,7,4,10,1,1
2022-10-01,Serie A,2022-23,Inter,Roma,1,2,5,1,3,6,1,1
2022-10-01,Serie A,2022-23,Napoli,Torino,3,1,4,4,4,8,1,1
2022-10-02,Serie A,2022-23,Lazio,Spezia,4,0,3,6,4,9,0,1
2022-10-02,Serie A,2022-23,Lecce,Cremonese,1,1,1,8,2,9,1,0
2022-10-02,Serie A,2022-23,Sampdoria,Monza,0,3,2,4,3,6,0,1
2022-10-02,Serie A,2022-23,Sassuolo,Salernitana,5,0,1,2,5,3,0,1
2022-10-02,Serie A,2022-23,Atalanta,Fiorentina,1,0,1,5,1,6,0,0
2022-10-02,Serie A,2022-23,Juventus,Bologna,3,0,2,4,3,6,0,1
2022-10-03,Serie A,2022-23,Verona,Udinese,1,2,4,9,3,13,1,1
2022-10-08,Serie A,2022-23,Milan,Juventus,2,0,9,3,2,12,0,0
2022-10-08,Serie A,2022-23,Bologna,Sampdoria,1,1,2,5,2,7,1,0
2022-10-08,Serie A,2022-23,Sassuolo,Inter,1,2,6,5,3,11,1,1
2022-10-09,Serie A,2022-23,Torino,Empoli,1,1,6,1,2,7,1,0
2022-10-09,Serie A,2022-23,Monza,Spezia,2,0,3,6,2,9,0,0
2022-10-09,Serie A,2022-23,Salernitana,Verona,2,1,1,6,3,7,1,1
