fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2024-08-17,Serie A,2024-25,Genoa,Inter,2,2,1,4,1,2,0,0,4,5,3,0,1,1,6.5,4.0,1.53,6.6,4.18,1.55
2024-08-17,Serie A,2024-25,Parma,Fiorentina,1,1,4,9,3,2,0,1,2,13,5,1,1,0,3.5,3.2,2.2,3.37,3.43,2.25
2024-08-17,Serie A,2024-25,Empoli,Monza,0,0,7,3,0,2,0,0,0,10,2,0,0,0,2.5,3.2,3.0,2.53,3.13,3.14
2024-08-17,Serie A,2024-25,Milan,Torino,2,2,9,2,2,4,0,0,4,11,6,0,1,1,1.62,3.8,5.75,1.62,4.06,5.76
2024-08-18,Serie A,2024-25,Bologna,Udinese,1,1,7,5,0,4,0,0,2,12,4,0,1,0,1.91,3.4,4.33,1.95,3.29,4.57
2024-08-18,Serie A,2024-25,Verona,Napoli,3,0,1,5,4,1,0,0,3,6,5,0,0,1,4.75,3.6,1.75,4.99,3.67,1.78
2024-08-18,Serie A,2024-25,Cagliari,Roma,0,0,5,3,2,0,0,0,0,8,2,0,0,0,4.1,3.4,1.95,4.04,3.53,1.99
2024-08-18,Serie A,2024-25,Lazio,Venezia,3,1,6,3,1,2,0,0,4,9,3,0,1,1,1.48,4.1,7.5,1.48,4.46,7.29
2024-08-19,Serie A,2024-25,Lecce,Atalanta,0,4,5,3,0,2,0,0,4,8,2,0,0,1,4.2,3.7,1.85,4.44,3.62,1.88
2024-08-19,Serie A,2024-25,Juventus,Como,3,0,3,0,2,4,0,0,3,3,6,0,0,1,1.33,5.0,9.5,1.34,5.22,9.8
2024-08-24,Serie A,2024-25,Monza,Genoa,0,1,8,3,2,3,0,0,1,11,5,0,0,0,2.6,3.1,2.88,2.68,3.11,2.96
2024-08-24,Serie A,2024-25,Inter,Lecce,2,0,10,6,0,2,0,0,2,16,2,0,0,0,1.2,7.0,13.0,1.2,7.01,15.07
2024-08-24,Serie A,2024-25,Udinese,Lazio,2,1,4,13,0,0,1,0,3,17,0,1,1,1,3.3,3.1,2.35,3.38,3.11,2.4
2024-08-24,Serie A,2024-25,Parma,Milan,2,1,3,9,0,3,0,0,3,12,3,0,1,1,4.75,3.9,1.7,4.9,4.16,1.69
2024-08-25,Serie A,2024-25,Fiorentina,Venezia,0,0,7,3,1,2,0,0,0,10,3,0,0,0,1.42,4.75,7.0,1.44,4.65,7.64
2024-08-25,Serie A,2024-25,Torino,Atalanta,2,1,4,6,3,4,0,0,3,10,7,0,1,1,3.2,3.1,2.38,3.32,3.26,2.35
2024-08-25,Serie A,2024-25,Napoli,Bologna,3,0,7,5,2,2,0,0,3,12,4,0,0,1,1.9,3.5,4.1,1.94,3.62,4.11
2024-08-25,Serie A,2024-25,Roma,Empoli,1,2,8,5,0,3,0,0,3,13,3,0,1,1,1.5,4.33,6.5,1.5,4.45,6.8
2024-08-26,Serie A,2024-25,Cagliari,Como,1,1,5,6,2,2,0,0,2,11,4,0,1,0,2.1,3.4,3.4,2.13,3.43,3.66
2024-08-26,Serie A,2024-25,Verona,Juventus,0,3,4,1,2,0,0,0,3,5,2,0,0,1,5.25,3.75,1.67,5.23,3.77,1.72
2024-08-30,Serie A,2024-25,Venezia,Torino,0,1,3,3,2,4,0,0,1,6,6,0,0,0,3.4,3.3,2.2,3.63,3.3,2.23
2024-08-30,Serie A,2024-25,Inter,Atalanta,4,0,3,4,0,2,0,0,4,7,2,0,0,1,1.57,4.33,5.5,1.58,4.43,5.79
2024-08-31,Serie A,2024-25,Napoli,Parma,2,1,6,4,2,4,0,1,3,10,6,1,1,1,1.48,4.33,7.0,1.5,4.66,6.48
2024-08-31,Serie A,2024-25,Lazio,Milan,2,2,5,7,4,2,0,0,4,12,6,0,1,1,2.9,3.4,2.4,2.97,3.44,2.46
2024-08-31,Serie A,2024-25,Lecce,Cagliari,1,0,7,10,1,3,1,0,1,17,4,1,0,0,2.25,3.2,3.4,2.33,3.18,3.45
2024-08-31,Serie A,2024-25,Bologna,Empoli,1,1,6,3,0,3,0,0,2,9,3,0,1,0,1.62,3.75,6.0,1.66,3.79,5.89
2024-09-01,Serie A,2024-25,Fiorentina,Monza,2,2,6,0,2,4,0,0,4,6,6,0,1,1,1.67,3.9,5.0,1.7,3.86,5.24
2024-09-01,Serie A,2024-25,Genoa,Verona,0,2,3,1,2,6,0,0,2,4,8,0,0,0,2.0,3.3,4.0,2.02,3.29,4.25
2024-09-01,Serie A,2024-25,Juventus,Roma,0,0,6,4,2,2,0,0,0,10,4,0,0,0,1.75,3.6,5.0,1.76,3.73,5.02
2024-09-01,Serie A,2024-25,Udinese,Como,1,0,4,6,3,0,0,0,1,10,3,0,0,0,2.05,3.4,3.75,2.07,3.4,3.89
2024-09-14,Serie A,2024-25,Como,Bologna,2,2,4,3,2,1,0,0,4,7,3,0,1,1,3.0,3.25,2.45,3.03,3.15,2.57
2024-09-14,Serie A,2024-25,Empoli,Juventus,0,0,4,8,1,2,0,0,0,12,3,0,0,0,5.25,3.6,1.7,5.54,3.68,1.7
2024-09-14,Serie A,2024-25,Milan,Venezia,4,0,6,1,1,3,0,1,4,7,4,1,0,1,1.3,5.75,9.0,1.3,5.83,9.65
2024-09-15,Serie A,2024-25,Monza,Inter,1,1,1,8,1,2,0,0,2,9,3,0,1,0,8.0,4.75,1.4,7.58,4.97,1.41
2024-09-15,Serie A,2024-25,Cagliari,Napoli,0,4,7,4,1,2,0,0,4,11,3,0,0,1,4.33,3.75,1.8,4.43,3.73,1.83
2024-09-15,Serie A,2024-25,Torino,Lecce,0,0,2,7,1,3,0,0,0,9,4,0,0,0,1.8,3.5,4.75,1.84,3.34,5.07
2024-09-15,Serie A,2024-25,Atalanta,Fiorentina,3,2,4,2,2,3,0,0,5,6,5,0,1,1,1.8,3.6,4.5,1.83,3.85,4.29
2024-09-15,Serie A,2024-25,Genoa,Roma,1,1,4,5,1,3,0,0,2,9,4,0,1,0,3.25,3.3,2.25,3.37,3.28,2.29
2024-09-16,Serie A,2024-25,Parma,Udinese,2,3,5,6,2,3,1,0,5,11,5,1,1,1,2.25,3.4,3.2,2.29,3.36,3.29
2024-09-16,Serie A,2024-25,Lazio,Verona,2,1,9,6,2,2,0,0,3,15,4,0,1,1,1.62,3.8,6.0,1.62,3.97,5.78
2024-09-20,Serie A,2024-25,Cagliari,Empoli,0,2,10,4,1,2,0,0,2,14,3,0,0,0,2.15,3.4,3.4,2.17,3.35,3.72
2024-09-20,Serie A,2024-25,Verona,Torino,2,3,5,6,3,1,1,0,5,11,4,1,1,1,2.7,3.0,2.8,2.85,3.02,2.9
2024-09-21,Serie A,2024-25,Venezia,Genoa,2,0,3,4,2,3,0,0,2,7,5,0,0,0,3.25,3.2,2.35,3.24,3.26,2.39
2024-09-21,Serie A,2024-25,Juventus,Napoli,0,0,4,3,1,0,0,0,0,7,1,0,0,0,2.2,3.4,3.3,2.26,3.28,3.49
2024-09-21,Serie A,2024-25,Lecce,Parma,2,2,2,12,4,0,1,1,4,14,4,2,1,1,2.2,3.5,3.25,2.22,3.46,3.39
2024-09-22,Serie A,2024-25,Inter,Milan,1,2,6,2,4,1,0,0,3,8,5,0,1,1,1.65,4.0,5.25,1.66,4.11,5.25
2024-09-22,Serie A,2024-25,Roma,Udinese,3,0,2,1,2,2,0,0,3,3,4,0,0,1,1.62,4.2,5.25,1.63,4.07,5.59
2024-09-22,Serie A,2024-25,Monza,Bologna,1,2,2,2,3,2,0,0,3,4,5,0,1,1,3.3,3.1,2.4,3.21,3.23,2.43
2024-09-22,Serie A,2024-25,Fiorentina,Lazio,2,1,3,10,3,4,0,0,3,13,7,0,1,1,2.25,3.4,3.2,2.32,3.43,3.23
2024-09-24,Serie A,2024-25,Atalanta,Como,2,3,6,2,1,3,0,0,5,8,4,0,1,1,1.44,4.5,7.0,1.5,4.69,6.4
2024-09-27,Serie A,2024-25,Milan,Lecce,3,0,4,7,1,1,1,0,3,11,2,1,0,1,1.33,5.75,8.0,1.33,5.73,9.55
2024-09-28,Serie A,2024-25,Udinese,Inter,2,3,7,3,1,0,0,0,5,10,1,0,1,1,7.0,4.33,1.48,7.07,4.52,1.48
2024-09-28,Serie A,2024-25,Genoa,Juventus,0,3,5,3,2,1,0,0,3,8,3,0,0,1,5.5,3.5,1.7,5.56,3.6,1.73
2024-09-28,Serie A,2024-25,Bologna,Atalanta,1,1,2,9,3,3,1,0,2,11,6,1,1,0,3.0,3.3,2.4,3.03,3.28,2.52
2024-09-29,Serie A,2024-25,Torino,Lazio,2,3,3,1,2,3,0,0,5,4,5,0,1,1,2.9,3.1,2.55,2.91,3.24,2.63
2024-09-29,Serie A,2024-25,Como,Verona,3,2,9,1,2,5,0,1,5,10,7,1,1,1,2.1,3.4,3.6,2.13,3.39,3.7
2024-09-29,Serie A,2024-25,Roma,Venezia,2,1,6,3,1,2,0,0,3,9,3,0,1,1,1.4,4.75,8.0,1.41,4.89,7.88
2024-09-29,Serie A,2024-25,Empoli,Fiorentina,0,0,2,4,0,1,0,0,0,6,1,0,0,0,3.4,3.3,2.2,3.48,3.27,2.27
2024-09-29,Serie A,2024-25,Napoli,Monza,2,0,1,3,1,2,0,0,2,4,3,0,0,0,1.36,5.0,8.5,1.36,5.16,9.29
