fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2015-08-08,Eredivisie,2015-16,Feyenoord,Utrecht,3,2,0,0,5,0,1,1
2015-08-08,Eredivisie,2015-16,Roda,Heracles,3,1,0,0,4,0,1,1
2015-08-09,Eredivisie,2015-16,AZ Alkmaar,Ajax,0,3,0,0,3,0,0,1
2015-08-09,Eredivisie,2015-16,Willem II,Vitesse,1,1,0,0,2,0,1,0
2015-08-11,Eredivisie,2015-16,Den Haag,PSV Eindhoven,2,2,0,0,4,0,1,1
2015-08-11,Eredivisie,2015-16,Heerenveen,Graafschap,3,1,0,0,4,0,1,1
2015-08-12,Eredivisie,2015-16,Nijmegen,Excelsior,1,0,0,0,1,0,0,0
2015-08-12,Eredivisie,2015-16,Zwolle,Cambuur,2,2,0,0,4,0,1,1
2015-08-12,Eredivisie,2015-16,Groningen,Twente,1,1,0,0,2,0,1,0
2015-08-14,Eredivisie,2015-16,Vitesse,Roda,3,0,0,0,3,0,0,1
2015-08-15,Eredivisie,2015-16,Ajax,Willem II,3,0,0,0,3,0,0,1
2015-08-15,Eredivisie,2015-16,Excelsior,AZ Alkmaar,2,2,0,0,4,0,1,1
2015-08-15,Eredivisie,2015-16,Graafschap,Zwolle,0,3,0,0,3,0,0,1
2015-08-15,Eredivisie,2015-16,Twente,Den Haag,1,4,0,0,5,0,1,1
2015-08-16,Eredivisie,2015-16,PSV Eindhoven,Groningen,2,0,0,0,2,0,0,0
2015-08-16,Eredivisie,2015-16,Cambuur,Feyenoord,0,2,0,0,2,0,0,0
2015-08-16,Eredivisie,2015-16,Heracles,Nijmegen,3,0,0,0,3,0,0,1
2015-08-16,Eredivisie,2015-16,Utrecht,Heerenveen,1,1,0,0,2,0,1,0
2015-08-21,Eredivisie,2015-16,Groningen,Excelsior,2,0,0,0,2,0,0,0
2015-08-22,Eredivisie,2015-16,Cambuur,Heracles,1,6,0,0,7,0,1,1
2015-08-22,Eredivisie,2015-16,Heerenveen,PSV Eindhoven,1,1,0,0,2,0,1,0
2015-08-22,Eredivisie,2015-16,Roda,Graafschap,1,0,0,0,1,0,0,0
