fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2022-08-05,Eredivisie,2022-23,Heerenveen,Sparta Rotterdam,0,0,3,6,1,1,0,0,0,9,2,0,0,0,1.95,3.5,3.8,1.95,3.57,4.24
2022-08-06,Eredivisie,2022-23,For Sittard,Ajax,2,3,3,10,3,0,0,0,5,13,3,0,1,1,13.0,6.5,1.2,11.26,7.35,1.23
2022-08-06,Eredivisie,2022-23,Cambuur,Excelsior,0,2,10,2,1,2,0,0,2,12,3,0,0,0,1.85,4.0,3.8,1.94,4.01,3.77
2022-08-06,Eredivisie,2022-23,PSV Eindhoven,FC Emmen,4,1,3,6,0,1,0,0,5,9,1,0,1,1,1.22,7.5,12.0,1.23,7.13,12.09
2022-08-06,Eredivisie,2022-23,Waalwijk,Utrecht,2,2,3,7,1,0,0,0,4,10,1,0,1,1,3.5,3.8,1.95,3.74,3.86,1.99
2022-08-07,Eredivisie,2022-23,Groningen,Volendam,2,2,7,4,0,1,0,0,4,11,1,0,1,1,1.72,4.0,4.33,1.71,4.14,4.9
2022-08-07,Eredivisie,2022-23,Nijmegen,Twente,0,1,6,9,1,1,0,0,1,15,2,0,0,0,3.1,3.6,2.2,3.43,3.61,2.18
2022-08-07,Eredivisie,2022-23,Vitesse,Feyenoord,2,5,5,6,2,1,0,0,7,11,3,0,1,1,3.8,3.8,1.9,3.97,4.14,1.87
2022-08-07,Eredivisie,2022-23,AZ Alkmaar,Go Ahead Eagles,2,0,7,3,1,1,0,0,2,10,2,0,0,0,1.4,5.0,7.5,1.42,5.01,7.91
2022-08-12,Eredivisie,2022-23,Excelsior,Vitesse,3,1,1,8,0,0,0,1,4,9,0,1,1,1,3.75,3.75,1.9,3.63,4.11,1.96
2022-08-13,Eredivisie,2022-23,Go Ahead Eagles,PSV Eindhoven,2,5,6,6,1,0,1,0,7,12,1,1,1,1,8.5,5.0,1.36,8.03,5.49,1.38
2022-08-13,Eredivisie,2022-23,FC Emmen,Waalwijk,1,1,3,4,3,1,0,0,2,7,4,0,1,0,1.9,3.75,3.8,1.93,3.77,4.03
2022-08-13,Eredivisie,2022-23,Utrecht,Cambuur,0,0,7,4,3,1,0,0,0,11,4,0,0,0,1.5,5.0,5.75,1.52,4.56,6.57
2022-08-13,Eredivisie,2022-23,Feyenoord,Heerenveen,0,0,7,2,1,2,0,0,0,9,3,0,0,0,1.3,5.5,8.0,1.31,6.13,9.49
2022-08-14,Eredivisie,2022-23,Volendam,Nijmegen,1,4,6,6,2,0,0,0,5,12,2,0,1,1,2.6,3.5,2.62,2.66,3.82,2.56
2022-08-14,Eredivisie,2022-23,Ajax,Groningen,6,1,7,3,1,0,0,0,7,10,1,0,1,1,1.16,8.5,13.0,1.18,8.37,14.21
2022-08-14,Eredivisie,2022-23,Twente,For Sittard,3,0,10,1,1,3,0,0,3,11,4,0,0,1,1.5,4.5,6.5,1.5,4.45,7.22
2022-08-14,Eredivisie,2022-23,Sparta Rotterdam,AZ Alkmaar,2,3,2,6,2,2,0,0,5,8,4,0,1,1,4.33,3.5,1.9,4.25,3.66,1.92
2022-08-20,Eredivisie,2022-23,FC Emmen,Utrecht,3,2,6,6,0,0,0,0,5,12,0,0,1,1,3.2,3.5,2.2,3.16,3.63,2.29
2022-08-20,Eredivisie,2022-23,For Sittard,Cambuur,1,4,6,5,3,1,0,0,5,11,4,0,1,1,2.25,3.5,3.1,2.25,3.82,3.11
