fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2025-08-08,Eredivisie,2025-26,For Sittard,Go Ahead Eagles,2,2,8,5,2,2,0,1,4,13,4,1,1,1
2025-08-09,Eredivisie,2025-26,Nijmegen,Excelsior,5,0,7,2,1,1,0,0,5,9,2,0,0,1
2025-08-09,Eredivisie,2025-26,Feyenoord,NAC Breda,2,0,3,4,1,1,0,0,2,7,2,0,0,0
2025-08-09,Eredivisie,2025-26,Heerenveen,Volendam,1,1,9,2,1,1,0,0,2,11,2,0,1,0
2025-08-09,Eredivisie,2025-26,PSV Eindhoven,Sparta Rotterdam,6,1,8,5,1,1,0,0,7,13,2,0,1,1
2025-08-10,Eredivisie,2025-26,Zwolle,Twente,1,0,2,4,4,1,0,0,1,6,5,0,0,0
2025-08-10,Eredivisie,2025-26,Ajax,Telstar,2,0,8,10,0,0,0,0,2,18,0,0,0,0
2025-08-10,Eredivisie,2025-26,AZ Alkmaar,Groningen,4,1,6,1,2,2,0,0,5,7,4,0,1,1
2025-08-10,Eredivisie,2025-26,Utrecht,Heracles,4,0,4,4,1,2,0,0,4,8,3,0,0,1
2025-08-15,Eredivisie,2025-26,Telstar,Zwolle,0,2,7,0,3,3,0,0,2,7,6,0,0,0
2025-08-16,Eredivisie,2025-26,Excelsior,Feyenoord,1,2,5,6,0,1,0,0,3,11,1,0,1,1
2025-08-16,Eredivisie,2025-26,Heracles,Nijmegen,1,4,3,7,2,2,1,0,5,10,4,1,1,1
2025-08-16,Eredivisie,2025-26,Groningen,Heerenveen,2,1,3,8,4,2,0,0,3,11,6,0,1,1
2025-08-17,Eredivisie,2025-26,NAC Breda,For Sittard,2,1,4,5,2,3,0,0,3,9,5,0,1,1
2025-08-17,Eredivisie,2025-26,Volendam,AZ Alkmaar,2,2,3,4,1,3,0,0,4,7,4,0,1,1
2025-08-17,Eredivisie,2025-26,Go Ahead Eagles,Ajax,2,2,6,9,1,2,0,0,4,15,3,0,1,1
2025-08-17,Eredivisie,2025-26,Sparta Rotterdam,Utrecht,2,1,5,6,1,3,0,0,3,11,4,0,1,1
2025-08-17,Eredivisie,2025-26,Twente,PSV Eindhoven,0,2,8,6,1,2,0,0,2,14,3,0,0,0
2025-08-23,Eredivisie,2025-26,Go Ahead Eagles,Sparta Rotterdam,0,3,12,1,0,2,0,0,3,13,2,0,0,1
2025-08-23,Eredivisie,2025-26,PSV Eindhoven,Groningen,4,2,6,4,0,2,0,0,6,10,2,0,1,1
2025-08-23,Eredivisie,2025-26,Telstar,Volendam,2,2,4,6,3,0,0,0,4,10,3,0,1,1
