fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2019-08-09,Primeira Liga,2019-20,Portimonense,Belenenses,0,0,5,5,1,1,0,0,0,10,2,0,0,0
2019-08-10,Primeira Liga,2019-20,Santa Clara,Famalicao,0,2,14,6,0,3,0,0,2,20,3,0,0,0
2019-08-10,Primeira Liga,2019-20,Gil Vicente,Porto,2,1,4,6,3,3,0,0,3,10,6,0,1,1
2019-08-10,Primeira Liga,2019-20,Benfica,Pacos Ferreira,5,0,10,3,0,4,0,1,5,13,4,1,0,1
2019-08-11,Primeira Liga,2019-20,Boavista,Aves,2,1,3,8,5,3,0,0,3,11,8,0,1,1
2019-08-11,Primeira Liga,2019-20,Maritimo,Sp Lisbon,1,1,2,8,4,4,0,0,2,10,8,0,1,0
2019-08-11,Primeira Liga,2019-20,Sp Braga,Moreirense,3,1,7,4,2,2,0,0,4,11,4,0,1,1
2019-08-12,Primeira Liga,2019-20,Setubal,Tondela,0,0,3,3,7,2,1,0,0,6,9,1,0,0
2019-08-16,Primeira Liga,2019-20,Famalicao,Rio Ave,1,0,5,2,3,5,0,1,1,7,8,1,0,0
2019-08-17,Primeira Liga,2019-20,Moreirense,Gil Vicente,3,0,3,5,0,3,0,0,3,8,3,0,0,1
2019-08-17,Primeira Liga,2019-20,Belenenses,Benfica,0,2,5,4,7,1,0,0,2,9,8,0,0,0
2019-08-17,Primeira Liga,2019-20,Porto,Setubal,4,0,7,0,0,2,0,0,4,7,2,0,0,1
2019-08-18,Primeira Liga,2019-20,Aves,Maritimo,3,1,4,6,2,4,0,0,4,10,6,0,1,1
2019-08-18,Primeira Liga,2019-20,Pacos Ferreira,Santa Clara,0,1,8,3,3,1,0,0,1,11,4,0,0,0
2019-08-18,Primeira Liga,2019-20,Guimaraes,Boavista,1,1,4,2,3,3,0,0,2,6,6,0,1,0
2019-08-18,Primeira Liga,2019-20,Sp Lisbon,Sp Braga,2,1,2,7,3,5,0,0,3,9,8,0,1,1
2019-08-19,Primeira Liga,2019-20,Tondela,Portimonense,1,2,6,3,1,1,0,0,3,9,2,0,1,1
2019-08-23,Primeira Liga,2019-20,Rio Ave,Aves,5,1,3,6,0,3,0,0,6,9,3,0,1,1
2019-08-23,Primeira Liga,2019-20,Setubal,Moreirense,0,0,9,5,3,1,0,0,0,14,4,0,0,0
2019-08-24,Primeira Liga,2019-20,Benfica,Porto,0,2,5,4,2,5,0,0,2,9,7,0,0,0
2019-08-24,Primeira Liga,2019-20,Boavista,Pacos Ferreira,1,1,6,8,5,2,0,0,2,14,7,0,1,0
