fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2021-08-06,Primeira Liga,2021-22,Sp Lisbon,Vizela,3,0,3,5,3,8,0,1
2021-08-07,Primeira Liga,2021-22,Arouca,Estoril,0,2,3,2,2,5,0,0
2021-08-07,Primeira Liga,2021-22,Moreirense,Benfica,1,2,0,6,3,6,1,1
2021-08-07,Primeira Liga,2021-22,Maritimo,Sp Braga,0,2,3,6,2,9,0,0
2021-08-08,Primeira Liga,2021-22,Guimaraes,Portimonense,0,1,10,5,1,15,0,0
2021-08-08,Primeira Liga,2021-22,Tondela,Santa Clara,3,0,3,5,3,8,0,1
2021-08-08,Primeira Liga,2021-22,Porto,Belenenses,2,0,8,3,2,11,0,0
2021-08-08,Primeira Liga,2021-22,Pacos Ferreira,Famalicao,2,0,6,3,2,9,0,0
2021-08-09,Primeira Liga,2021-22,Gil Vicente,Boavista,3,0,1,5,3,6,0,1
2021-08-13,Primeira Liga,2021-22,Estoril,Guimaraes,0,0,4,9,0,13,0,0
2021-08-14,Primeira Liga,2021-22,Vizela,Tondela,2,1,11,4,3,15,1,1
2021-08-14,Primeira Liga,2021-22,Benfica,Arouca,2,0,4,2,2,6,0,0
2021-08-14,Primeira Liga,2021-22,Sp Braga,Sp Lisbon,1,2,6,5,3,11,1,1
2021-08-15,Primeira Liga,2021-22,Portimonense,Gil Vicente,0,1,5,4,1,9,0,0
2021-08-15,Primeira Liga,2021-22,Famalicao,Porto,1,2,3,2,3,5,1,1
2021-08-15,Primeira Liga,2021-22,Santa Clara,Moreirense,2,2,5,4,4,9,1,1
2021-08-16,Primeira Liga,2021-22,Boavista,Pacos Ferreira,3,0,2,8,3,10,0,1
2021-08-16,Primeira Liga,2021-22,Belenenses,Maritimo,1,2,3,4,3,7,1,1
2021-08-20,Primeira Liga,2021-22,Moreirense,Sp Braga,2,3,6,0,5,6,1,1
2021-08-20,Primeira Liga,2021-22,Arouca,Famalicao,2,1,10,9,3,19,1,1
2021-08-21,Primeira Liga,2021-22,Gil Vicente,Benfica,0,2,3,9,2,12,0,0
2021-08-21,Primeira Liga,2021-22,Sp Lisbon,Belenenses,2,0,10,0,2,10,0,0
2021-08-22,Primeira Liga,2021-22,Tondela,Portimonense,0,3,6,5,3,11,0,1
2021-08-22,Primeira Liga,2021-22,Maritimo,Porto,1,1,3,4,2,7,1,0
2021-08-22,Primeira Liga,2021-22,Guimaraes,Vizela,4,0,8,2,4,10,0,1
2021-08-23,Primeira Liga,2021-22,Pacos Ferreira,Estoril,1,3,5,4,4,9,1,1
2021-08-23,Primeira Liga,2021-22,Boavista,Santa Clara,2,0,5,5,2,10,0,0
