fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2015-08-01,Scottish Premiership,2015-16,Celtic,Ross County,2,0,15,4,2,0,0,0,2,19,2,0,0,0
2015-08-01,Scottish Premiership,2015-16,Hamilton,Partick,0,0,3,1,2,0,0,1,0,4,2,1,0,0
2015-08-01,Scottish Premiership,2015-16,Inverness C,Motherwell,0,1,5,6,1,1,0,0,1,11,2,0,0,0
2015-08-01,Scottish Premiership,2015-16,Kilmarnock,Dundee,0,4,1,4,1,0,0,0,4,5,1,0,0,1
2015-08-02,Scottish Premiership,2015-16,Dundee United,Aberdeen,0,1,7,11,2,1,0,0,1,18,3,0,0,0
2015-08-02,Scottish Premiership,2015-16,Hearts,St Johnstone,4,3,2,3,3,2,0,0,7,5,5,0,1,1
2015-08-08,Scottish Premiership,2015-16,Dundee,Hearts,1,2,6,4,5,4,0,0,3,10,9,0,1,1
2015-08-08,Scottish Premiership,2015-16,Motherwell,Dundee United,0,2,7,5,3,1,0,0,2,12,4,0,0,0
2015-08-08,Scottish Premiership,2015-16,Ross County,Hamilton,2,0,5,4,0,3,0,0,2,9,3,0,0,0
2015-08-08,Scottish Premiership,2015-16,St Johnstone,Inverness C,1,1,9,5,0,1,0,0,2,14,1,0,1,0
2015-08-09,Scottish Premiership,2015-16,Aberdeen,Kilmarnock,2,0,7,3,1,4,0,0,2,10,5,0,0,0
2015-08-09,Scottish Premiership,2015-16,Partick,Celtic,0,2,1,5,2,0,0,0,2,6,2,0,0,0
2015-08-11,Scottish Premiership,2015-16,St Johnstone,Ross County,1,1,8,6,2,3,0,0,2,14,5,0,1,0
2015-08-11,Scottish Premiership,2015-16,Dundee United,Dundee,2,2,6,1,0,1,0,0,4,7,1,0,1,1
2015-08-12,Scottish Premiership,2015-16,Hearts,Motherwell,2,0,4,4,0,2,0,0,2,8,2,0,0,0
2015-08-12,Scottish Premiership,2015-16,Inverness C,Partick,0,0,3,2,2,2,0,0,0,5,4,0,0,0
2015-08-12,Scottish Premiership,2015-16,Kilmarnock,Celtic,2,2,6,7,0,0,0,0,4,13,0,0,1,1
2015-08-15,Scottish Premiership,2015-16,Celtic,Inverness C,4,2,10,2,4,2,0,0,6,12,6,0,1,1
2015-08-15,Scottish Premiership,2015-16,Dundee,St Johnstone,2,1,4,10,3,1,0,0,3,14,4,0,1,1
2015-08-15,Scottish Premiership,2015-16,Hamilton,Dundee United,4,0,6,3,1,1,0,0,4,9,2,0,0,1
2015-08-15,Scottish Premiership,2015-16,Motherwell,Aberdeen,1,2,2,5,1,2,0,0,3,7,3,0,1,1
2015-08-15,Scottish Premiership,2015-16,Partick,Kilmarnock,2,2,9,3,1,3,1,0,4,12,4,1,1,1
2015-08-15,Scottish Premiership,2015-16,Ross County,Hearts,1,2,4,6,2,3,0,0,3,10,5,0,1,1
2015-08-22,Scottish Premiership,2015-16,St Johnstone,Motherwell,2,1,7,6,0,1,0,1,3,13,1,1,1,1
2015-08-22,Scottish Premiership,2015-16,Inverness C,Hamilton,0,2,6,4,2,3,0,0,2,10,5,0,0,0
2015-08-22,Scottish Premiership,2015-16,Kilmarnock,Ross County,0,4,2,8,2,1,0,0,4,10,3,0,0,1
2015-08-22,Scottish Premiership,2015-16,Dundee United,Celtic,1,3,6,8,3,4,0,0,4,14,7,0,1,1
2015-08-22,Scottish Premiership,2015-16,Hearts,Partick,3,0,8,10,1,3,0,0,3,18,4,0,0,1
2015-08-22,Scottish Premiership,2015-16,Aberdeen,Dundee,2,0,9,1,1,2,0,1,2,10,3,1,0,0
2015-08-29,Scottish Premiership,2015-16,Celtic,St Johnstone,3,1,8,9,0,0,0,0,4,17,0,0,1,1
2015-08-29,Scottish Premiership,2015-16,Dundee,Inverness C,1,1,4,4,1,4,0,1,2,8,5,1,1,0
2015-08-29,Scottish Premiership,2015-16,Hamilton,Hearts,3,2,4,2,7,1,0,1,5,6,8,1,1,1
2015-08-29,Scottish Premiership,2015-16,Motherwell,Kilmarnock,1,0,5,5,1,0,0,0,1,10,1,0,0,0
2015-08-29,Scottish Premiership,2015-16,Partick,Aberdeen,0,2,4,3,2,1,0,0,2,7,3,0,0,0
2015-08-29,Scottish Premiership,2015-16,Ross County,Dundee United,2,1,3,6,3,2,0,0,3,9,5,0,1,1
2015-09-11,Scottish Premiership,2015-16,Inverness C,Hearts,2,0,2,3,2,2,0,1,2,5,4,1,0,0
2015-09-12,Scottish Premiership,2015-16,Partick,Dundee,0,1,7,4,0,0,0,0,1,11,0,0,0,0
2015-09-12,Scottish Premiership,2015-16,Motherwell,Ross County,1,1,9,4,0,3,0,0,2,13,3,0,1,0
2015-09-12,Scottish Premiership,2015-16,St Johnstone,Hamilton,4,1,2,8,4,1,0,0,5,10,5,0,1,1
