fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2025-08-02,Scottish Premiership,2025-26,Kilmarnock,Livingston,2,2,3,5,2,2,1,0,4,8,4,1,1,1,2.0,3.5,3.6,2.05,3.36,3.76
2025-08-02,Scottish Premiership,2025-26,Motherwell,Rangers,1,1,1,12,1,4,0,0,2,13,5,0,1,0,7.0,5.0,1.4,6.55,5.36,1.39
2025-08-03,Scottish Premiership,2025-26,Falkirk,Dundee United,2,2,2,4,1,5,0,0,4,6,6,0,1,1,1.9,3.8,3.8,1.89,3.59,4.09
2025-08-03,Scottish Premiership,2025-26,Dundee,Hibernian,1,2,3,11,3,1,0,0,3,14,4,0,1,1,4.1,3.6,1.83,4.12,3.82,1.82
2025-08-03,Scottish Premiership,2025-26,Celtic,St Mirren,1,0,12,1,2,1,0,0,1,13,3,0,0,0,1.17,6.5,17.0,1.17,7.49,14.77
2025-08-04,Scottish Premiership,2025-26,Hearts,Aberdeen,2,0,3,3,3,2,0,0,2,6,5,0,0,0,2.1,3.6,3.3,2.08,3.56,3.46
2025-08-09,Scottish Premiership,2025-26,Livingston,Falkirk,3,1,4,5,4,2,0,0,4,9,6,0,1,1,2.6,3.4,2.63,2.68,3.23,2.73
2025-08-09,Scottish Premiership,2025-26,St Mirren,Motherwell,0,0,7,4,5,1,0,0,0,11,6,0,0,0,1.95,3.5,3.8,1.98,3.54,3.77
2025-08-09,Scottish Premiership,2025-26,Rangers,Dundee,1,1,7,4,2,1,1,0,2,11,3,1,1,0,1.17,7.5,17.0,1.14,8.41,15.69
2025-08-10,Scottish Premiership,2025-26,Dundee United,Hearts,2,3,2,9,3,4,0,0,5,11,7,0,1,1,4.0,3.5,1.91,3.84,3.59,1.95
2025-08-10,Scottish Premiership,2025-26,Hibernian,Kilmarnock,2,2,4,7,1,2,0,0,4,11,3,0,1,1,1.7,4.0,4.5,1.68,3.9,4.9
2025-08-10,Scottish Premiership,2025-26,Aberdeen,Celtic,0,2,1,6,2,3,0,0,2,7,5,0,0,0,6.0,5.0,1.44,6.8,5.0,1.41
2025-08-23,Scottish Premiership,2025-26,Celtic,Livingston,3,0,10,4,0,1,0,0,3,14,1,0,0,1,1.14,7.5,17.0,1.13,8.9,15.76
2025-08-23,Scottish Premiership,2025-26,Hearts,Motherwell,3,3,9,3,3,2,0,0,6,12,5,0,1,1,1.62,3.9,5.25,1.63,3.88,5.41
2025-08-23,Scottish Premiership,2025-26,Kilmarnock,Dundee,0,0,7,3,3,3,0,0,0,10,6,0,0,0,1.85,3.4,4.33,1.89,3.53,4.16
2025-08-24,Scottish Premiership,2025-26,St Mirren,Rangers,1,1,6,6,3,3,0,0,2,12,6,0,1,0,4.1,4.2,1.73,4.2,4.09,1.75
2025-08-30,Scottish Premiership,2025-26,Livingston,Hearts,1,2,5,9,7,2,0,0,3,14,9,0,1,1,3.4,3.3,2.1,3.45,3.43,2.13
2025-08-30,Scottish Premiership,2025-26,Motherwell,Kilmarnock,2,2,9,0,2,5,0,0,4,9,7,0,1,1,2.05,3.5,3.4,2.1,3.45,3.52
2025-08-31,Scottish Premiership,2025-26,Rangers,Celtic,0,0,8,1,3,0,0,0,0,9,3,0,0,0,3.4,4.0,1.91,3.55,3.94,1.93
2025-08-31,Scottish Premiership,2025-26,Dundee,Dundee United,0,2,3,2,0,1,0,0,2,5,1,0,0,0,2.45,3.3,2.6,2.67,3.18,2.79
