fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2016-08-19,La Liga,2016-17,La Coruna,Eibar,2,1,1,8,3,3,0,0,3,9,6,0,1,1
2016-08-19,La Liga,2016-17,Malaga,Osasuna,1,1,5,3,2,3,0,0,2,8,5,0,1,0
2016-08-20,La Liga,2016-17,Barcelona,Betis,6,2,10,2,1,3,0,0,8,12,4,0,1,1
2016-08-20,La Liga,2016-17,Granada,Villarreal,1,1,7,3,2,3,0,0,2,10,5,0,1,0
2016-08-20,La Liga,2016-17,Sevilla,Espanol,6,4,8,2,2,2,0,0,10,10,4,0,1,1
2016-08-21,La Liga,2016-17,Ath Madrid,Alaves,1,1,20,2,0,4,0,0,2,22,4,0,1,0
2016-08-21,La Liga,2016-17,Sociedad,Real Madrid,0,3,4,7,2,3,0,0,3,11,5,0,0,1
2016-08-21,La Liga,2016-17,Sp Gijon,Ath Bilbao,2,1,2,5,3,3,0,0,3,7,6,0,1,1
2016-08-22,La Liga,2016-17,Celta,Leganes,0,1,8,4,4,1,0,1,1,12,5,1,0,0
2016-08-22,La Liga,2016-17,Valencia,Las Palmas,2,4,12,1,2,2,0,0,6,13,4,0,1,1
2016-08-26,La Liga,2016-17,Espanol,Malaga,2,2,3,4,2,4,0,0,4,7,6,0,1,1
2016-08-26,La Liga,2016-17,Betis,La Coruna,0,0,13,2,0,2,0,0,0,15,2,0,0,0
2016-08-27,La Liga,2016-17,Eibar,Valencia,1,0,6,10,2,2,0,0,1,16,4,0,0,0
2016-08-27,La Liga,2016-17,Leganes,Ath Madrid,0,0,1,8,3,1,0,0,0,9,4,0,0,0
2016-08-27,La Liga,2016-17,Osasuna,Sociedad,0,2,10,1,2,1,0,0,2,11,3,0,0,0
2016-08-27,La Liga,2016-17,Real Madrid,Celta,2,1,7,2,0,2,0,0,3,9,2,0,1,1
2016-08-28,La Liga,2016-17,Alaves,Sp Gijon,0,0,4,6,1,1,0,0,0,10,2,0,0,0
2016-08-28,La Liga,2016-17,Ath Bilbao,Barcelona,0,1,4,4,5,4,0,0,1,8,9,0,0,0
2016-08-28,La Liga,2016-17,Las Palmas,Granada,5,1,6,4,5,1,0,0,6,10,6,0,1,1
2016-08-28,La Liga,2016-17,Villarreal,Sevilla,0,0,5,1,1,3,0,0,0,6,4,0,0,0
2016-09-09,La Liga,2016-17,Sociedad,Espanol,1,1,11,1,2,2,0,1,2,12,4,1,1,0
2016-09-10,La Liga,2016-17,Sevilla,Las Palmas,2,1,10,1,2,4,0,1,3,11,6,1,1,1
2016-09-10,La Liga,2016-17,Real Madrid,Osasuna,5,2,6,7,2,2,0,1,7,13,4,1,1,1
2016-09-10,La Liga,2016-17,Barcelona,Alaves,1,2,13,0,1,1,0,0,3,13,2,0,1,1
2016-09-10,La Liga,2016-17,Celta,Ath Madrid,0,4,6,4,1,2,0,0,4,10,3,0,0,1
2016-09-10,La Liga,2016-17,Malaga,Villarreal,0,2,9,7,2,1,0,0,2,16,3,0,0,0
2016-09-11,La Liga,2016-17,Granada,Eibar,1,2,6,7,2,0,0,1,3,13,2,1,1,1
2016-09-11,La Liga,2016-17,La Coruna,Ath Bilbao,0,1,7,6,2,3,0,0,1,13,5,0,0,0
2016-09-11,La Liga,2016-17,Sp Gijon,Leganes,2,1,3,5,0,2,0,0,3,8,2,0,1,1
2016-09-11,La Liga,2016-17,Valencia,Betis,2,3,5,5,2,4,1,0,5,10,6,1,1,1
2016-09-16,La Liga,2016-17,Betis,Granada,2,2,7,3,4,3,1,1,4,10,7,2,1,1
2016-09-17,La Liga,2016-17,Leganes,Barcelona,1,5,2,5,4,2,0,0,6,7,6,0,1,1
2016-09-17,La Liga,2016-17,Las Palmas,Malaga,1,0,2,2,3,1,0,0,1,4,4,0,0,0
2016-09-17,La Liga,2016-17,Ath Madrid,Sp Gijon,5,0,1,4,0,2,0,0,5,5,2,0,0,1
2016-09-17,La Liga,2016-17,Eibar,Sevilla,1,1,4,2,1,1,2,0,2,6,2,2,1,0
2016-09-18,La Liga,2016-17,Ath Bilbao,Valencia,2,1,7,1,4,4,0,0,3,8,8,0,1,1
2016-09-18,La Liga,2016-17,Espanol,Real Madrid,0,2,4,5,4,2,0,0,2,9,6,0,0,0
2016-09-18,La Liga,2016-17,Osasuna,Celta,0,0,3,5,4,1,0,0,0,8,5,0,0,0
2016-09-18,La Liga,2016-17,Villarreal,Sociedad,2,1,3,6,2,3,0,1,3,9,5,1,1,1
2016-09-19,La Liga,2016-17,Alaves,La Coruna,0,0,4,5,3,4,0,0,0,9,7,0,0,0
2016-09-20,La Liga,2016-17,Malaga,Eibar,2,1,7,5,2,4,0,0,3,12,6,0,1,1
2016-09-20,La Liga,2016-17,Sevilla,Betis,1,0,6,2,5,4,0,0,1,8,9,0,0,0
2016-09-21,La Liga,2016-17,Sociedad,Las Palmas,4,1,7,4,1,2,0,1,5,11,3,1,1,1
2016-09-21,La Liga,2016-17,Granada,Ath Bilbao,1,2,6,3,1,0,0,0,3,9,1,0,1,1
2016-09-21,La Liga,2016-17,Real Madrid,Villarreal,1,1,17,3,4,1,0,0,2,20,5,0,1,0
2016-09-21,La Liga,2016-17,Celta,Sp Gijon,2,1,8,0,2,3,0,0,3,8,5,0,1,1
2016-09-21,La Liga,2016-17,Barcelona,Ath Madrid,1,1,8,2,2,4,0,0,2,10,6,0,1,0
2016-09-22,La Liga,2016-17,La Coruna,Leganes,1,2,7,1,0,3,0,0,3,8,3,0,1,1
