fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2020-09-12,La Liga,2020-21,Eibar,Celta,0,0,3,3,4,4,1,0,0,6,8,1,0,0,2.5,3.25,2.9,2.6,3.22,3.01
2020-09-12,La Liga,2020-21,Granada,Ath Bilbao,2,0,1,2,3,4,0,0,2,3,7,0,0,0,2.75,3.1,2.75,2.92,3.02,2.82
2020-09-12,La Liga,2020-21,Cadiz,Osasuna,0,2,6,2,2,2,0,0,2,8,4,0,0,0,2.8,3.0,2.75,2.87,3.04,2.86
2020-09-13,La Liga,2020-21,Alaves,Betis,0,1,6,4,3,3,0,0,1,10,6,0,0,0,2.8,3.2,2.6,2.88,3.32,2.64
2020-09-13,La Liga,2020-21,Valladolid,Sociedad,1,1,5,3,4,1,0,0,2,8,5,0,1,0,2.8,3.2,2.6,2.98,3.3,2.57
2020-09-13,La Liga,2020-21,Villarreal,Huesca,1,1,6,6,1,1,0,0,2,12,2,0,1,0,1.57,4.0,6.0,1.57,4.21,6.36
2020-09-13,La Liga,2020-21,Valencia,Levante,4,2,3,4,1,3,0,0,6,7,4,0,1,1,2.1,3.5,3.5,2.14,3.48,3.66
2020-09-19,La Liga,2020-21,Getafe,Osasuna,1,0,4,1,4,2,0,0,1,5,6,0,0,0,1.95,3.25,4.33,2.02,3.24,4.4
2020-09-19,La Liga,2020-21,Celta,Valencia,2,1,6,6,3,1,0,0,3,12,4,0,1,1,2.2,3.6,3.1,2.25,3.58,3.22
2020-09-19,La Liga,2020-21,Villarreal,Eibar,2,1,4,3,1,1,0,0,3,7,2,0,1,1,1.57,4.0,6.0,1.61,4.12,5.93
2020-09-20,La Liga,2020-21,Huesca,Cadiz,0,2,2,1,3,3,0,0,2,3,6,0,0,0,2.1,3.1,4.0,2.21,2.99,4.07
2020-09-20,La Liga,2020-21,Betis,Valladolid,2,0,5,3,3,0,0,0,2,8,3,0,0,0,1.85,3.6,4.33,1.87,3.63,4.52
2020-09-20,La Liga,2020-21,Granada,Alaves,2,1,4,4,0,3,0,0,3,8,3,0,1,1,2.05,3.1,4.2,2.1,3.08,4.3
2020-09-20,La Liga,2020-21,Sociedad,Real Madrid,0,0,1,11,2,2,0,0,0,12,4,0,0,0,4.75,3.8,1.72,4.83,3.85,1.76
2020-09-26,La Liga,2020-21,Alaves,Getafe,0,0,1,5,2,2,0,0,0,6,4,0,0,0,3.5,2.9,2.37,3.58,2.83,2.5
2020-09-26,La Liga,2020-21,Valencia,Huesca,1,1,4,4,0,1,0,0,2,8,1,0,1,0,2.0,3.4,4.0,2.1,3.4,3.82
2020-09-26,La Liga,2020-21,Elche,Sociedad,0,3,2,11,3,1,0,0,3,13,4,0,0,1,4.2,3.3,1.95,4.28,3.45,1.97
2020-09-26,La Liga,2020-21,Betis,Real Madrid,2,3,8,3,5,2,1,0,5,11,7,1,1,1,4.0,4.0,1.8,4.17,3.94,1.85
