fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2015-08-14,Super Lig,2015-16,Fenerbahce,Eskisehirspor,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1.4,4.75,7.0,1.42,4.81,8.87
2015-08-15,Super Lig,2015-16,Buyuksehyr,Antalyaspor,2,3,0,0,0,0,0,0,5,0,0,0,1,1,1.7,3.5,5.25,1.71,3.76,5.53
2015-08-15,Super Lig,2015-16,Sivasspor,Galatasaray,2,2,0,0,0,0,0,0,4,0,0,0,1,1,3.4,3.5,2.05,3.4,3.6,2.18
2015-08-15,Super Lig,2015-16,Trabzonspor,Bursaspor,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.25,3.4,3.1,2.37,3.35,3.23
2015-08-16,Super Lig,2015-16,Gaziantepspor,Kasimpasa,0,3,0,0,0,0,0,0,3,0,0,0,0,1,2.63,3.3,2.6,2.76,3.48,2.63
2015-08-16,Super Lig,2015-16,Konyaspor,Akhisar Belediyespor,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1.91,3.4,4.0,1.96,3.46,4.34
2015-08-16,Super Lig,2015-16,Mersin Idman Yurdu,Besiktas,2,5,0,0,0,0,0,0,7,0,0,0,1,1,3.4,3.3,2.15,3.54,3.47,2.18
2015-08-16,Super Lig,2015-16,Osmanlispor,Kayserispor,1,1,0,0,0,0,0,0,2,0,0,0,1,0,2.3,3.2,3.2,2.4,3.28,3.24
2015-08-17,Super Lig,2015-16,Genclerbirligi,Rizespor,2,3,0,0,0,0,0,0,5,0,0,0,1,1,2.1,3.3,3.5,2.14,3.44,3.67
2015-08-21,Super Lig,2015-16,Kasimpasa,Buyuksehyr,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.38,3.4,2.88,2.51,3.43,2.98
2015-08-22,Super Lig,2015-16,Akhisar Belediyespor,Mersin Idman Yurdu,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2.38,3.2,3.0,2.44,3.33,3.12
2015-08-22,Super Lig,2015-16,Besiktas,Trabzonspor,1,2,0,0,0,0,0,0,3,0,0,0,1,1,1.67,3.75,5.0,1.7,3.99,5.24
2015-08-22,Super Lig,2015-16,Kayserispor,Konyaspor,1,1,0,0,0,0,0,0,2,0,0,0,1,0,2.3,3.25,3.1,2.33,3.31,3.35
2015-08-23,Super Lig,2015-16,Antalyaspor,Genclerbirligi,3,1,0,0,0,0,0,0,4,0,0,0,1,1,2.25,3.4,3.1,2.37,3.54,3.07
2015-08-23,Super Lig,2015-16,Bursaspor,Gaziantepspor,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.36,4.75,8.5,1.39,4.9,9.25
2015-08-23,Super Lig,2015-16,Eskisehirspor,Sivasspor,4,2,0,0,0,0,0,0,6,0,0,0,1,1,2.15,3.75,3.0,2.23,3.52,3.36
2015-08-23,Super Lig,2015-16,Rizespor,Fenerbahce,1,1,0,0,0,0,0,0,2,0,0,0,1,0,4.33,3.75,1.75,4.57,3.88,1.81
2015-08-24,Super Lig,2015-16,Galatasaray,Osmanlispor,1,2,0,0,0,0,0,0,3,0,0,0,1,1,1.4,4.5,7.5,1.44,4.95,7.4
2015-08-28,Super Lig,2015-16,Gaziantepspor,Besiktas,0,4,0,0,0,0,0,0,4,0,0,0,0,1,5.75,4.0,1.57,6.0,3.99,1.65
2015-08-29,Super Lig,2015-16,Buyuksehyr,Bursaspor,2,1,0,0,0,0,0,0,3,0,0,0,1,1,2.38,3.25,3.0,2.47,3.33,3.08
2015-08-29,Super Lig,2015-16,Genclerbirligi,Kasimpasa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5,3.3,2.8,2.46,3.48,2.97
2015-08-29,Super Lig,2015-16,Konyaspor,Galatasaray,1,4,0,0,0,0,0,0,5,0,0,0,1,1,3.2,3.4,2.2,3.28,3.39,2.33
2015-08-29,Super Lig,2015-16,Mersin Idman Yurdu,Kayserispor,1,2,0,0,0,0,0,0,3,0,0,0,1,1,2.6,3.2,2.7,2.63,3.26,2.91
2015-08-30,Super Lig,2015-16,Sivasspor,Osmanlispor,1,1,0,0,0,0,0,0,2,0,0,0,1,0,2.0,3.3,3.8,2.04,3.5,3.92
2015-08-30,Super Lig,2015-16,Trabzonspor,Akhisar Belediyespor,2,2,0,0,0,0,0,0,4,0,0,0,1,1,1.62,3.75,5.5,1.63,4.01,5.99
2015-08-30,Super Lig,2015-16,Eskisehirspor,Rizespor,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1.91,3.3,4.2,1.98,3.51,4.16
2015-08-30,Super Lig,2015-16,Fenerbahce,Antalyaspor,2,1,0,0,0,0,0,0,3,0,0,0,1,1,1.25,5.75,11.0,1.28,6.13,11.92
2015-09-12,Super Lig,2015-16,Akhisar Belediyespor,Gaziantepspor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,3.6,3.6,2.02,3.43,4.19
2015-09-12,Super Lig,2015-16,Antalyaspor,Eskisehirspor,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2.3,3.3,3.1,2.3,3.46,3.26
2015-09-12,Super Lig,2015-16,Bursaspor,Genclerbirligi,3,2,0,0,0,0,0,0,5,0,0,0,1,1,1.67,3.75,5.0,1.76,3.83,4.98
2015-09-12,Super Lig,2015-16,Galatasaray,Mersin Idman Yurdu,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1.33,5.0,8.5,1.38,5.23,9.19
2015-09-13,Super Lig,2015-16,Rizespor,Sivasspor,1,1,0,0,0,0,0,0,2,0,0,0,1,0,2.1,3.4,3.4,2.1,3.59,3.7
2015-09-13,Super Lig,2015-16,Besiktas,Buyuksehyr,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1.67,3.75,5.0,1.72,3.94,5.3
2015-09-13,Super Lig,2015-16,Kasimpasa,Fenerbahce,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.6,3.6,1.95,3.83,3.8,2.0
2015-09-13,Super Lig,2015-16,Osmanlispor,Konyaspor,1,2,0,0,0,0,0,0,3,0,0,0,1,1,2.0,3.3,3.8,2.02,3.43,4.2
2015-09-14,Super Lig,2015-16,Kayserispor,Trabzonspor,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.45,3.2,3.0,2.49,3.36,3.03
2015-09-18,Super Lig,2015-16,Mersin Idman Yurdu,Osmanlispor,0,4,0,0,0,0,0,0,4,0,0,0,0,1,2.8,3.2,2.55,2.89,3.39,2.6
2015-09-18,Super Lig,2015-16,Buyuksehyr,Akhisar Belediyespor,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1.67,3.5,5.5,1.74,3.79,5.34
2015-09-19,Super Lig,2015-16,Eskisehirspor,Kasimpasa,0,3,0,0,0,0,0,0,3,0,0,0,0,1,2.8,3.2,2.55,2.79,3.38,2.7
2015-09-19,Super Lig,2015-16,Rizespor,Antalyaspor,5,1,0,0,0,0,0,0,6,0,0,0,1,1,2.2,3.4,3.2,2.25,3.44,3.45
2015-09-19,Super Lig,2015-16,Sivasspor,Konyaspor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.5,3.6,2.09,3.53,3.81
2015-09-19,Super Lig,2015-16,Trabzonspor,Galatasaray,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.6,3.4,2.6,2.72,3.47,2.7
2015-09-20,Super Lig,2015-16,Fenerbahce,Bursaspor,2,1,0,0,0,0,0,0,3,0,0,0,1,1,1.53,4.0,6.0,1.57,4.43,6.11
2015-09-20,Super Lig,2015-16,Gaziantepspor,Kayserispor,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,3.4,2.5,2.85,3.21,2.76
