fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2019-08-16,Super Lig,2019-20,Denizlispor,Galatasaray,2,0,6,2,4,5,0,1,2,8,9,1,0,0
2019-08-17,Super Lig,2019-20,Genclerbirligi,Rizespor,0,1,4,2,4,2,1,0,1,6,6,1,0,0
2019-08-17,Super Lig,2019-20,Kayserispor,Alanyaspor,0,1,6,9,4,1,0,0,1,15,5,0,0,0
2019-08-17,Super Lig,2019-20,Sivasspor,Besiktas,3,0,7,0,4,3,0,0,3,7,7,0,0,1
2019-08-18,Super Lig,2019-20,Konyaspor,Ankaragucu,0,0,4,1,0,2,0,0,0,5,2,0,0,0
2019-08-18,Super Lig,2019-20,Goztep,Antalyaspor,0,1,5,5,3,3,0,0,1,10,6,0,0,0
2019-08-18,Super Lig,2019-20,Kasimpasa,Trabzonspor,1,1,5,9,2,0,0,0,2,14,2,0,1,0
2019-08-18,Super Lig,2019-20,Yeni Malatyaspor,Buyuksehyr,3,0,2,11,3,2,0,1,3,13,5,1,0,1
2019-08-19,Super Lig,2019-20,Fenerbahce,Gaziantep,5,0,4,2,1,4,0,0,5,6,5,0,0,1
2019-08-23,Super Lig,2019-20,Besiktas,Goztep,3,0,8,3,1,1,0,0,3,11,2,0,0,1
2019-08-24,Super Lig,2019-20,Ankaragucu,Kayserispor,1,1,1,7,3,1,0,0,2,8,4,0,1,0
2019-08-24,Super Lig,2019-20,Alanyaspor,Kasimpasa,4,1,1,4,4,4,0,0,5,5,8,0,1,1
2019-08-24,Super Lig,2019-20,Buyuksehyr,Fenerbahce,1,2,4,4,0,0,0,0,3,8,0,0,1,1
2019-08-25,Super Lig,2019-20,Rizespor,Sivasspor,2,1,1,12,2,2,0,0,3,13,4,0,1,1
2019-08-25,Super Lig,2019-20,Trabzonspor,Yeni Malatyaspor,2,1,4,5,1,2,0,0,3,9,3,0,1,1
2019-08-25,Super Lig,2019-20,Antalyaspor,Denizlispor,0,2,5,3,1,3,0,0,2,8,4,0,0,0
2019-08-25,Super Lig,2019-20,Galatasaray,Konyaspor,1,1,2,5,1,3,1,0,2,7,4,1,1,0
2019-08-26,Super Lig,2019-20,Gaziantep,Genclerbirligi,4,1,4,6,1,1,0,2,5,10,2,2,1,1
2019-08-30,Super Lig,2019-20,Kasimpasa,Ankaragucu,0,1,10,1,1,5,0,0,1,11,6,0,0,0
2019-08-30,Super Lig,2019-20,Kayserispor,Galatasaray,2,3,1,4,8,6,3,1,5,5,14,4,1,1
2019-08-31,Super Lig,2019-20,Konyaspor,Antalyaspor,2,2,5,7,2,2,0,0,4,12,4,0,1,1
2019-08-31,Super Lig,2019-20,Besiktas,Rizespor,1,1,11,2,5,1,0,0,2,13,6,0,1,0
2019-08-31,Super Lig,2019-20,Goztep,Denizlispor,0,0,5,1,2,3,0,1,0,6,5,1,0,0
2019-09-01,Super Lig,2019-20,Fenerbahce,Trabzonspor,1,1,6,3,1,3,0,0,2,9,4,0,1,0
2019-09-01,Super Lig,2019-20,Yeni Malatyaspor,Alanyaspor,2,3,5,3,4,2,0,0,5,8,6,0,1,1
2019-09-01,Super Lig,2019-20,Genclerbirligi,Buyuksehyr,1,2,4,5,5,2,0,0,3,9,7,0,1,1
2019-09-01,Super Lig,2019-20,Sivasspor,Gaziantep,1,1,7,5,3,4,0,0,2,12,7,0,1,0
2019-09-13,Super Lig,2019-20,Galatasaray,Kasimpasa,1,0,3,5,2,3,0,0,1,8,5,0,0,0
2019-09-14,Super Lig,2019-20,Buyuksehyr,Sivasspor,1,1,7,4,2,2,0,0,2,11,4,0,1,0
2019-09-14,Super Lig,2019-20,Antalyaspor,Kayserispor,2,2,11,3,3,1,0,0,4,14,4,0,1,1
2019-09-14,Super Lig,2019-20,Gaziantep,Besiktas,3,2,4,14,4,4,1,2,5,18,8,3,1,1
2019-09-15,Super Lig,2019-20,Trabzonspor,Genclerbirligi,2,2,2,4,2,2,0,0,4,6,4,0,1,1
2019-09-15,Super Lig,2019-20,Ankaragucu,Yeni Malatyaspor,0,4,4,2,4,3,1,0,4,6,7,1,0,1
2019-09-15,Super Lig,2019-20,Rizespor,Goztep,0,0,3,3,3,4,0,0,0,6,7,0,0,0
2019-09-15,Super Lig,2019-20,Denizlispor,Konyaspor,0,1,3,5,4,2,0,0,1,8,6,0,0,0
2019-09-16,Super Lig,2019-20,Alanyaspor,Fenerbahce,3,1,3,3,1,1,0,0,4,6,2,0,1,1
2019-09-20,Super Lig,2019-20,Goztep,Konyaspor,1,0,9,1,1,3,1,0,1,10,4,1,0,0
2019-09-21,Super Lig,2019-20,Kasimpasa,Antalyaspor,3,0,4,10,2,3,0,0,3,14,5,0,0,1
2019-09-21,Super Lig,2019-20,Kayserispor,Denizlispor,1,1,3,4,2,1,0,0,2,7,3,0,1,0
2019-09-21,Super Lig,2019-20,Fenerbahce,Ankaragucu,2,1,8,1,2,3,0,0,3,9,5,0,1,1
2019-09-22,Super Lig,2019-20,Rizespor,Gaziantep,1,2,8,4,2,2,0,0,3,12,4,0,1,1
2019-09-22,Super Lig,2019-20,Genclerbirligi,Alanyaspor,1,1,1,5,3,3,0,0,2,6,6,0,1,0
2019-09-22,Super Lig,2019-20,Yeni Malatyaspor,Galatasaray,1,1,8,3,1,3,0,0,2,11,4,0,1,0
2019-09-23,Super Lig,2019-20,Besiktas,Buyuksehyr,1,1,0,4,4,5,0,0,2,4,9,0,1,0
2019-09-23,Super Lig,2019-20,Sivasspor,Trabzonspor,2,1,4,5,3,3,0,0,3,9,6,0,1,1
2019-09-27,Super Lig,2019-20,Buyuksehyr,Rizespor,5,0,4,6,0,2,0,0,5,10,2,0,0,1
2019-09-28,Super Lig,2019-20,Denizlispor,Kasimpasa,0,1,4,5,0,2,0,0,1,9,2,0,0,0
2019-09-28,Super Lig,2019-20,Alanyaspor,Sivasspor,1,1,11,3,3,4,0,0,2,14,7,0,1,0
2019-09-28,Super Lig,2019-20,Galatasaray,Fenerbahce,0,0,4,5,2,1,0,0,0,9,3,0,0,0
2019-09-29,Super Lig,2019-20,Konyaspor,Kayserispor,2,1,5,3,4,7,0,2,3,8,11,2,1,1
2019-09-29,Super Lig,2019-20,Ankaragucu,Genclerbirligi,2,1,4,9,1,2,0,0,3,13,3,0,1,1
2019-09-29,Super Lig,2019-20,Antalyaspor,Yeni Malatyaspor,3,0,2,4,2,2,0,1,3,6,4,1,0,1
2019-09-29,Super Lig,2019-20,Trabzonspor,Besiktas,4,1,2,8,6,3,0,0,5,10,9,0,1,1
2019-09-30,Super Lig,2019-20,Gaziantep,Goztep,1,1,5,5,2,4,0,1,2,10,6,1,1,0
2019-10-04,Super Lig,2019-20,Yeni Malatyaspor,Denizlispor,5,1,6,3,2,6,0,0,6,9,8,0,1,1
2019-10-04,Super Lig,2019-20,Fenerbahce,Antalyaspor,0,1,10,3,1,2,0,0,1,13,3,0,0,0
2019-10-05,Super Lig,2019-20,Kasimpasa,Konyaspor,1,4,9,2,5,4,0,0,5,11,9,0,1,1
2019-10-05,Super Lig,2019-20,Goztep,Kayserispor,4,0,6,5,1,2,0,0,4,11,3,0,0,1
2019-10-05,Super Lig,2019-20,Genclerbirligi,Galatasaray,0,0,4,5,7,4,1,0,0,9,11,1,0,0
2019-10-06,Super Lig,2019-20,Sivasspor,Ankaragucu,3,1,8,3,4,1,0,0,4,11,5,0,1,1
2019-10-06,Super Lig,2019-20,Besiktas,Alanyaspor,2,0,4,8,3,4,0,0,2,12,7,0,0,0
2019-10-06,Super Lig,2019-20,Gaziantep,Buyuksehyr,1,2,5,8,1,6,1,0,3,13,7,1,1,1
2019-10-06,Super Lig,2019-20,Rizespor,Trabzonspor,1,2,6,4,5,2,0,0,3,10,7,0,1,1
2019-10-18,Super Lig,2019-20,Galatasaray,Sivasspor,3,2,3,3,4,4,0,1,5,6,8,1,1,1
2019-10-19,Super Lig,2019-20,Ankaragucu,Besiktas,0,0,5,6,3,4,1,0,0,11,7,1,0,0
2019-10-19,Super Lig,2019-20,Trabzonspor,Gaziantep,4,1,5,4,1,1,0,1,5,9,2,1,1,1
2019-10-19,Super Lig,2019-20,Antalyaspor,Genclerbirligi,0,6,8,1,2,2,1,0,6,9,4,1,0,1
2019-10-19,Super Lig,2019-20,Buyuksehyr,Goztep,2,1,5,5,1,3,0,0,3,10,4,0,1,1
2019-10-20,Super Lig,2019-20,Denizlispor,Fenerbahce,1,2,5,4,2,0,0,0,3,9,2,0,1,1
2019-10-20,Super Lig,2019-20,Kayserispor,Kasimpasa,1,1,11,3,5,3,0,0,2,14,8,0,1,0
