fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2021-08-13,Super Lig,2021-22,Besiktas,Rizespor,3,0,4,5,3,9,0,1
2021-08-14,Super Lig,2021-22,Karagumruk,Gaziantep,3,2,4,1,5,5,1,1
2021-08-14,Super Lig,2021-22,Altay,Kayserispor,3,0,2,4,3,6,0,1
2021-08-14,Super Lig,2021-22,Hatayspor,Kasimpasa,1,1,7,3,2,10,1,0
2021-08-15,Super Lig,2021-22,Buyuksehyr,Alanyaspor,0,1,8,0,1,8,0,0
2021-08-15,Super Lig,2021-22,Ad. Demirspor,Fenerbahce,0,1,5,5,1,10,0,0
2021-08-15,Super Lig,2021-22,Antalyaspor,Goztep,1,1,2,8,2,10,1,0
2021-08-16,Super Lig,2021-22,Yeni Malatyaspor,Trabzonspor,1,5,8,2,6,10,1,1
2021-08-16,Super Lig,2021-22,Giresunspor,Galatasaray,0,2,5,4,2,9,0,0
2021-08-16,Super Lig,2021-22,Sivasspor,Konyaspor,0,1,5,3,1,8,0,0
2021-08-20,Super Lig,2021-22,Kayserispor,Ad. Demirspor,1,1,6,6,2,12,1,0
2021-08-21,Super Lig,2021-22,Kasimpasa,Giresunspor,2,0,3,2,2,5,0,0
2021-08-21,Super Lig,2021-22,Rizespor,Karagumruk,0,0,2,6,0,8,0,0
2021-08-21,Super Lig,2021-22,Alanyaspor,Altay,1,4,1,5,5,6,1,1
2021-08-21,Super Lig,2021-22,Gaziantep,Besiktas,0,0,5,2,0,7,0,0
2021-08-22,Super Lig,2021-22,Konyaspor,Buyuksehyr,2,1,4,5,3,9,1,1
2021-08-22,Super Lig,2021-22,Fenerbahce,Antalyaspor,2,0,13,2,2,15,0,0
2021-08-22,Super Lig,2021-22,Goztep,Yeni Malatyaspor,0,1,4,1,1,5,0,0
2021-08-23,Super Lig,2021-22,Trabzonspor,Sivasspor,2,1,4,4,3,8,1,1
2021-08-23,Super Lig,2021-22,Galatasaray,Hatayspor,2,1,17,1,3,18,1,1
2021-08-27,Super Lig,2021-22,Ad. Demirspor,Konyaspor,1,1,1,3,2,4,1,0
2021-08-27,Super Lig,2021-22,Antalyaspor,Rizespor,3,2,7,1,5,8,1,1
2021-08-28,Super Lig,2021-22,Buyuksehyr,Kayserispor,0,1,11,2,1,13,0,0
2021-08-28,Super Lig,2021-22,Yeni Malatyaspor,Gaziantep,2,0,1,6,2,7,0,0
2021-08-28,Super Lig,2021-22,Besiktas,Karagumruk,1,0,9,1,1,10,0,0
2021-08-28,Super Lig,2021-22,Hatayspor,Alanyaspor,5,0,3,4,5,7,0,1
2021-08-29,Super Lig,2021-22,Kasimpasa,Galatasaray,2,2,4,2,4,6,1,1
2021-08-29,Super Lig,2021-22,Sivasspor,Goztep,2,2,5,7,4,12,1,1
2021-08-29,Super Lig,2021-22,Altay,Fenerbahce,0,2,3,5,2,8,0,0
2021-08-29,Super Lig,2021-22,Giresunspor,Trabzonspor,0,1,2,4,1,6,0,0
2021-09-11,Super Lig,2021-22,Konyaspor,Altay,3,1,6,7,4,13,1,1
2021-09-11,Super Lig,2021-22,Kayserispor,Kasimpasa,2,0,0,4,2,4,0,0
2021-09-11,Super Lig,2021-22,Karagumruk,Ad. Demirspor,4,0,6,4,4,10,0,1
2021-09-11,Super Lig,2021-22,Besiktas,Yeni Malatyaspor,3,0,9,3,3,12,0,1
2021-09-12,Super Lig,2021-22,Fenerbahce,Sivasspor,1,1,2,2,2,4,1,0
2021-09-12,Super Lig,2021-22,Rizespor,Hatayspor,0,2,5,3,2,8,0,0
2021-09-12,Super Lig,2021-22,Goztep,Buyuksehyr,2,1,2,6,3,8,1,1
2021-09-12,Super Lig,2021-22,Trabzonspor,Galatasaray,2,2,7,3,4,10,1,1
2021-09-13,Super Lig,2021-22,Alanyaspor,Giresunspor,1,0,7,11,1,18,0,0
2021-09-13,Super Lig,2021-22,Gaziantep,Antalyaspor,2,0,3,4,2,7,0,0
2021-09-17,Super Lig,2021-22,Yeni Malatyaspor,Karagumruk,3,4,2,5,7,7,1,1
2021-09-17,Super Lig,2021-22,Altay,Goztep,2,1,5,3,3,8,1,1
2021-09-18,Super Lig,2021-22,Ad. Demirspor,Rizespor,3,1,5,12,4,17,1,1
2021-09-18,Super Lig,2021-22,Antalyaspor,Besiktas,2,3,7,5,5,12,1,1
2021-09-18,Super Lig,2021-22,Sivasspor,Gaziantep,1,1,5,3,2,8,1,0
2021-09-18,Super Lig,2021-22,Kasimpasa,Trabzonspor,0,1,8,3,1,11,0,0
2021-09-19,Super Lig,2021-22,Giresunspor,Konyaspor,0,0,9,0,0,9,0,0
2021-09-19,Super Lig,2021-22,Galatasaray,Alanyaspor,0,1,13,3,1,16,0,0
2021-09-19,Super Lig,2021-22,Buyuksehyr,Fenerbahce,2,0,1,6,2,7,0,0
2021-09-19,Super Lig,2021-22,Hatayspor,Kayserispor,2,1,12,4,3,16,1,1
2021-09-21,Super Lig,2021-22,Karagumruk,Antalyaspor,0,0,4,3,0,7,0,0
2021-09-21,Super Lig,2021-22,Rizespor,Altay,1,2,3,4,3,7,1,1
2021-09-21,Super Lig,2021-22,Besiktas,Ad. Demirspor,3,3,5,6,6,11,1,1
2021-09-21,Super Lig,2021-22,Yeni Malatyaspor,Sivasspor,0,1,5,6,1,11,0,0
2021-09-22,Super Lig,2021-22,Kayserispor,Galatasaray,3,0,3,9,3,12,0,1
2021-09-22,Super Lig,2021-22,Gaziantep,Buyuksehyr,1,0,3,15,1,18,0,0
2021-09-22,Super Lig,2021-22,Goztep,Hatayspor,0,2,9,3,2,12,0,0
2021-09-23,Super Lig,2021-22,Konyaspor,Trabzonspor,2,2,9,4,4,13,1,1
2021-09-23,Super Lig,2021-22,Alanyaspor,Kasimpasa,2,0,6,4,2,10,0,0
2021-09-23,Super Lig,2021-22,Fenerbahce,Giresunspor,2,1,6,2,3,8,1,1
2021-09-24,Super Lig,2021-22,Altay,Besiktas,2,1,2,5,3,7,1,1
2021-09-25,Super Lig,2021-22,Ad. Demirspor,Gaziantep,4,0,1,9,4,10,0,1
2021-09-25,Super Lig,2021-22,Sivasspor,Karagumruk,4,0,6,7,4,13,0,1
2021-09-25,Super Lig,2021-22,Antalyaspor,Yeni Malatyaspor,1,0,8,2,1,10,0,0
2021-09-26,Super Lig,2021-22,Hatayspor,Fenerbahce,1,2,5,4,3,9,1,1
2021-09-26,Super Lig,2021-22,Galatasaray,Goztep,2,1,5,5,3,10,1,1
2021-09-26,Super Lig,2021-22,Giresunspor,Kayserispor,1,1,7,3,2,10,1,0
2021-09-26,Super Lig,2021-22,Buyuksehyr,Rizespor,3,0,1,3,3,4,0,1
2021-09-27,Super Lig,2021-22,Kasimpasa,Konyaspor,2,2,8,2,4,10,1,1
2021-09-27,Super Lig,2021-22,Trabzonspor,Alanyaspor,1,1,10,3,2,13,1,0
2021-10-01,Super Lig,2021-22,Antalyaspor,Ad. Demirspor,1,2,10,2,3,12,1,1
2021-10-01,Super Lig,2021-22,Karagumruk,Buyuksehyr,3,1,1,10,4,11,1,1
2021-10-02,Super Lig,2021-22,Konyaspor,Alanyaspor,1,1,7,5,2,12,1,0
2021-10-02,Super Lig,2021-22,Goztep,Giresunspor,0,1,8,3,1,11,0,0
2021-10-02,Super Lig,2021-22,Kayserispor,Trabzonspor,1,2,7,1,3,8,1,1
2021-10-02,Super Lig,2021-22,Besiktas,Sivasspor,2,1,3,2,3,5,1,1
2021-10-03,Super Lig,2021-22,Rizespor,Galatasaray,2,3,6,6,5,12,1,1
2021-10-03,Super Lig,2021-22,Gaziantep,Altay,4,1,8,7,5,15,1,1
2021-10-03,Super Lig,2021-22,Yeni Malatyaspor,Hatayspor,0,2,7,5,2,12,0,0
2021-10-03,Super Lig,2021-22,Fenerbahce,Kasimpasa,2,1,3,3,3,6,1,1
2021-10-15,Super Lig,2021-22,Buyuksehyr,Besiktas,3,2,2,5,5,7,1,1
2021-10-16,Super Lig,2021-22,Giresunspor,Rizespor,2,0,7,7,2,14,0,0
2021-10-16,Super Lig,2021-22,Sivasspor,Antalyaspor,2,2,1,2,4,3,1,1
2021-10-16,Super Lig,2021-22,Ad. Demirspor,Yeni Malatyaspor,0,2,7,3,2,10,0,0
2021-10-17,Super Lig,2021-22,Kasimpasa,Goztep,1,2,5,4,3,9,1,1
2021-10-17,Super Lig,2021-22,Altay,Karagumruk,0,1,6,2,1,8,0,0
2021-10-17,Super Lig,2021-22,Galatasaray,Konyaspor,1,0,3,6,1,9,0,0
2021-10-17,Super Lig,2021-22,Trabzonspor,Fenerbahce,3,1,1,2,4,3,1,1
2021-10-18,Super Lig,2021-22,Alanyaspor,Kayserispor,6,3,6,5,9,11,1,1
2021-10-18,Super Lig,2021-22,Hatayspor,Gaziantep,2,1,6,3,3,9,1,1
2021-10-22,Super Lig,2021-22,Yeni Malatyaspor,Altay,2,1,6,3,3,9,1,1
2021-10-23,Super Lig,2021-22,Goztep,Trabzonspor,0,1,1,2,1,3,0,0
2021-10-23,Super Lig,2021-22,Konyaspor,Kayserispor,2,0,4,5,2,9,0,0
2021-10-23,Super Lig,2021-22,Rizespor,Kasimpasa,2,1,7,5,3,12,1,1
2021-10-23,Super Lig,2021-22,Gaziantep,Giresunspor,1,1,3,5,2,8,1,0
2021-10-24,Super Lig,2021-22,Karagumruk,Hatayspor,1,1,8,3,2,11,1,0
2021-10-24,Super Lig,2021-22,Antalyaspor,Buyuksehyr,1,2,5,3,3,8,1,1
2021-10-24,Super Lig,2021-22,Sivasspor,Ad. Demirspor,1,1,4,4,2,8,1,0
2021-10-24,Super Lig,2021-22,Fenerbahce,Alanyaspor,1,2,9,4,3,13,1,1
2021-10-25,Super Lig,2021-22,Besiktas,Galatasaray,2,1,5,5,3,10,1,1
2021-10-29,Super Lig,2021-22,Trabzonspor,Rizespor,2,1,9,4,3,13,1,1
2021-10-30,Super Lig,2021-22,Altay,Sivasspor,1,1,6,6,2,12,1,0
2021-10-30,Super Lig,2021-22,Kasimpasa,Yeni Malatyaspor,2,0,5,5,2,10,0,0
2021-10-30,Super Lig,2021-22,Hatayspor,Besiktas,1,0,4,9,1,13,0,0
2021-10-30,Super Lig,2021-22,Konyaspor,Fenerbahce,2,1,7,5,3,12,1,1
2021-10-31,Super Lig,2021-22,Galatasaray,Gaziantep,2,0,3,2,2,5,0,0
2021-10-31,Super Lig,2021-22,Kayserispor,Karagumruk,2,1,7,5,3,12,1,1
2021-10-31,Super Lig,2021-22,Alanyaspor,Goztep,2,2,8,4,4,12,1,1
2021-11-01,Super Lig,2021-22,Buyuksehyr,Ad. Demirspor,2,1,6,8,3,14,1,1
2021-11-01,Super Lig,2021-22,Giresunspor,Antalyaspor,1,2,2,1,3,3,1,1
2021-11-05,Super Lig,2021-22,Rizespor,Alanyaspor,2,0,4,5,2,9,0,0
2021-11-05,Super Lig,2021-22,Gaziantep,Kasimpasa,2,0,4,3,2,7,0,0
2021-11-06,Super Lig,2021-22,Besiktas,Trabzonspor,1,2,7,4,3,11,1,1
2021-11-06,Super Lig,2021-22,Yeni Malatyaspor,Buyuksehyr,1,3,6,3,4,9,1,1
2021-11-06,Super Lig,2021-22,Sivasspor,Giresunspor,0,0,4,4,0,8,0,0
2021-11-06,Super Lig,2021-22,Antalyaspor,Altay,1,0,8,3,1,11,0,0
2021-11-07,Super Lig,2021-22,Fenerbahce,Kayserispor,2,2,7,1,4,8,1,1
2021-11-07,Super Lig,2021-22,Karagumruk,Galatasaray,1,1,0,11,2,11,1,0
2021-11-07,Super Lig,2021-22,Goztep,Konyaspor,0,2,6,5,2,11,0,0
2021-11-07,Super Lig,2021-22,Ad. Demirspor,Hatayspor,1,0,7,8,1,15,0,0
2021-11-20,Super Lig,2021-22,Hatayspor,Antalyaspor,3,1,4,5,4,9,1,1
2021-11-20,Super Lig,2021-22,Buyuksehyr,Sivasspor,2,1,2,1,3,3,1,1
2021-11-20,Super Lig,2021-22,Giresunspor,Yeni Malatyaspor,1,0,3,7,1,10,0,0
2021-11-20,Super Lig,2021-22,Alanyaspor,Besiktas,2,0,5,7,2,12,0,0
2021-11-21,Super Lig,2021-22,Galatasaray,Fenerbahce,1,2,4,1,3,5,1,1
2021-11-21,Super Lig,2021-22,Kasimpasa,Karagumruk,1,3,4,1,4,5,1,1
2021-11-21,Super Lig,2021-22,Altay,Ad. Demirspor,1,3,7,4,4,11,1,1
2021-11-21,Super Lig,2021-22,Konyaspor,Rizespor,3,0,2,5,3,7,0,1
2021-11-22,Super Lig,2021-22,Kayserispor,Goztep,1,1,4,2,2,6,1,0
2021-11-22,Super Lig,2021-22,Trabzonspor,Gaziantep,3,0,2,12,3,14,0,1
2021-11-26,Super Lig,2021-22,Ad. Demirspor,Kasimpasa,0,0,8,8,0,16,0,0
2021-11-26,Super Lig,2021-22,Buyuksehyr,Altay,0,0,7,1,0,8,0,0
2021-11-27,Super Lig,2021-22,Rizespor,Kayserispor,1,0,5,5,1,10,0,0
2021-11-27,Super Lig,2021-22,Besiktas,Giresunspor,0,4,8,3,4,11,0,1
2021-11-27,Super Lig,2021-22,Antalyaspor,Alanyaspor,3,0,2,1,3,3,0,1
2021-11-28,Super Lig,2021-22,Sivasspor,Hatayspor,4,0,4,2,4,6,0,1
2021-11-28,Super Lig,2021-22,Yeni Malatyaspor,Galatasaray,0,0,4,7,0,11,0,0
2021-11-28,Super Lig,2021-22,Gaziantep,Konyaspor,3,2,5,6,5,11,1,1
2021-11-28,Super Lig,2021-22,Karagumruk,Trabzonspor,0,2,4,0,2,4,0,0
