equipo,total_partidos,media_goles_anotados,media_goles_recibidos,media_corners,pct_over_2_5,pct_btts
Bayern Munich,340,2.735,0.962,6.91,72.9,56.8
Paris SG,361,2.524,0.848,6.05,67.0,52.4
Barcelona,380,2.387,0.916,5.92,63.4,52.4
Man City,380,2.363,0.879,7.22,64.5,51.1
Dortmund,340,2.25,1.3,5.49,69.1,62.4
Real Madrid,380,2.184,0.918,6.03,60.8,54.7
Liverpool,380,2.126,1.005,6.77,60.5,54.2
Inter,380,1.942,0.926,6.58,55.8,51.6
Napoli,380,1.939,0.95,6.06,56.8,53.4
RB Leipzig,306,1.938,1.16,5.23,61.1,56.5
Leverkusen,340,1.906,1.285,5.62,62.6,59.7
Arsenal,380,1.866,1.113,5.97,58.4,52.9
Monaco,362,1.859,1.243,5.33,62.7,56.9
Atalanta,380,1.858,1.166,5.69,57.1,57.6
Lyon,362,1.856,1.243,5.31,61.0,59.1
Tottenham,380,1.847,1.203,5.82,58.7,55.8
Juventus,380,1.805,0.837,5.47,49.7,48.4
Roma,380,1.776,1.113,5.87,55.3,55.8
Lazio,380,1.732,1.239,5.53,58.4,56.8
Chelsea,380,1.713,1.155,5.97,57.4,52.1
Ath Madrid,380,1.676,0.782,5.06,42.4,41.8
Hoffenheim,340,1.653,1.615,4.73,62.9,67.9
M'gladbach,340,1.65,1.556,4.8,63.8,62.4
Marseille,362,1.646,1.171,5.52,51.4,57.7
Milan,380,1.642,1.103,5.68,53.4,55.5
Man United,380,1.555,1.153,5.49,51.3,50.3
Villarreal,380,1.545,1.2,4.65,54.5,57.1
Ein Frankfurt,340,1.544,1.465,5.22,59.1,62.4
Brentford,152,1.5,1.474,4.49,57.2,59.2
Lens,182,1.495,1.137,5.34,50.5,53.3
Rennes,362,1.486,1.191,4.94,49.2,54.7
Stuttgart,272,1.478,1.632,4.93,60.3,59.6
Leicester,342,1.474,1.477,4.98,58.8,56.7
Fiorentina,380,1.461,1.258,5.37,52.1,55.8
